Connecting to host 172.31.33.192, port 5008
[  4] local 172.31.39.190 port 43448 connected to 172.31.33.192 port 5008
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  44.2 KBytes   362 Kbits/sec  45282  
[  4]   1.00-2.00   sec  43.5 KBytes   356 Kbits/sec  44513  
[  4]   2.00-3.00   sec  43.0 KBytes   352 Kbits/sec  44053  
[  4]   3.00-4.00   sec  42.9 KBytes   351 Kbits/sec  43926  
[  4]   4.00-5.00   sec  42.2 KBytes   345 Kbits/sec  43173  
[  4]   5.00-6.00   sec  42.6 KBytes   349 Kbits/sec  43593  
[  4]   6.00-7.00   sec  42.6 KBytes   349 Kbits/sec  43595  
[  4]   7.00-8.00   sec  42.5 KBytes   348 Kbits/sec  43471  
[  4]   8.00-9.00   sec  42.4 KBytes   347 Kbits/sec  43414  
[  4]   9.00-10.00  sec  42.4 KBytes   347 Kbits/sec  43433  
[  4]  10.00-11.00  sec  42.5 KBytes   348 Kbits/sec  43534  
[  4]  11.00-12.00  sec  42.5 KBytes   348 Kbits/sec  43524  
[  4]  12.00-13.00  sec  42.6 KBytes   349 Kbits/sec  43575  
[  4]  13.00-14.00  sec  42.5 KBytes   348 Kbits/sec  43549  
[  4]  14.00-15.00  sec  42.5 KBytes   348 Kbits/sec  43546  
[  4]  15.00-16.00  sec  42.5 KBytes   348 Kbits/sec  43470  
[  4]  16.00-17.00  sec  42.2 KBytes   346 Kbits/sec  43255  
[  4]  17.00-18.00  sec  42.2 KBytes   346 Kbits/sec  43264  
[  4]  18.00-19.00  sec  41.9 KBytes   344 Kbits/sec  42939  
[  4]  19.00-20.00  sec  42.1 KBytes   345 Kbits/sec  43077  
[  4]  20.00-21.00  sec  42.1 KBytes   345 Kbits/sec  43148  
[  4]  21.00-22.00  sec  42.2 KBytes   345 Kbits/sec  43173  
[  4]  22.00-23.00  sec  42.0 KBytes   344 Kbits/sec  43012  
[  4]  23.00-24.00  sec  42.1 KBytes   345 Kbits/sec  43105  
[  4]  24.00-25.00  sec  42.1 KBytes   345 Kbits/sec  43091  
[  4]  25.00-26.00  sec  42.4 KBytes   347 Kbits/sec  43401  
[  4]  26.00-27.00  sec  42.3 KBytes   347 Kbits/sec  43319  
[  4]  27.00-28.00  sec  42.3 KBytes   346 Kbits/sec  43283  
[  4]  28.00-29.00  sec  42.2 KBytes   346 Kbits/sec  43203  
[  4]  29.00-30.00  sec  42.2 KBytes   345 Kbits/sec  43178  
[  4]  30.00-31.00  sec  41.7 KBytes   341 Kbits/sec  42679  
[  4]  31.00-32.00  sec  41.8 KBytes   342 Kbits/sec  42765  
[  4]  32.00-33.00  sec  41.8 KBytes   342 Kbits/sec  42761  
[  4]  33.00-34.00  sec  41.9 KBytes   343 Kbits/sec  42869  
[  4]  34.00-35.00  sec  41.8 KBytes   342 Kbits/sec  42807  
[  4]  35.00-36.00  sec  41.8 KBytes   343 Kbits/sec  42845  
[  4]  36.00-37.00  sec  42.1 KBytes   345 Kbits/sec  43078  
[  4]  37.00-38.00  sec  42.0 KBytes   344 Kbits/sec  43010  
[  4]  38.00-39.00  sec  40.9 KBytes   335 Kbits/sec  41871  
[  4]  39.00-40.00  sec  41.4 KBytes   339 Kbits/sec  42408  
[  4]  40.00-41.00  sec  41.5 KBytes   340 Kbits/sec  42457  
[  4]  41.00-42.00  sec  41.5 KBytes   340 Kbits/sec  42545  
[  4]  42.00-43.00  sec  41.4 KBytes   339 Kbits/sec  42387  
[  4]  43.00-44.00  sec  41.5 KBytes   340 Kbits/sec  42464  
[  4]  44.00-45.00  sec  41.8 KBytes   342 Kbits/sec  42780  
[  4]  45.00-46.00  sec  41.8 KBytes   342 Kbits/sec  42787  
[  4]  46.00-47.00  sec  41.8 KBytes   342 Kbits/sec  42808  
[  4]  47.00-48.00  sec  41.8 KBytes   342 Kbits/sec  42775  
[  4]  48.00-49.00  sec  41.7 KBytes   342 Kbits/sec  42718  
[  4]  49.00-50.00  sec  41.7 KBytes   342 Kbits/sec  42743  
[  4]  50.00-51.00  sec  41.7 KBytes   342 Kbits/sec  42717  
[  4]  51.00-52.00  sec  41.8 KBytes   342 Kbits/sec  42806  
[  4]  52.00-53.00  sec  41.8 KBytes   343 Kbits/sec  42838  
[  4]  53.00-54.00  sec  41.8 KBytes   342 Kbits/sec  42781  
[  4]  54.00-55.00  sec  41.8 KBytes   343 Kbits/sec  42834  
[  4]  55.00-56.00  sec  42.0 KBytes   344 Kbits/sec  43021  
[  4]  56.00-57.00  sec  41.7 KBytes   341 Kbits/sec  42663  
[  4]  57.00-58.00  sec  43.1 KBytes   353 Kbits/sec  44119  
[  4]  58.00-59.00  sec  43.8 KBytes   359 Kbits/sec  44883  
[  4]  59.00-60.00  sec  44.7 KBytes   366 Kbits/sec  45800  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.47 MBytes   346 Kbits/sec  0.104 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
