Connecting to host 172.31.33.192, port 5008
[  4] local 172.31.39.190 port 36948 connected to 172.31.33.192 port 5008
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  43.1 KBytes   353 Kbits/sec  44165  
[  4]   1.00-2.00   sec  43.9 KBytes   360 Kbits/sec  44959  
[  4]   2.00-3.00   sec  44.0 KBytes   361 Kbits/sec  45074  
[  4]   3.00-4.00   sec  44.1 KBytes   361 Kbits/sec  45117  
[  4]   4.00-5.00   sec  44.1 KBytes   361 Kbits/sec  45122  
[  4]   5.00-6.00   sec  44.4 KBytes   364 Kbits/sec  45470  
[  4]   6.00-7.00   sec  44.4 KBytes   364 Kbits/sec  45476  
[  4]   7.00-8.00   sec  44.5 KBytes   364 Kbits/sec  45535  
[  4]   8.00-9.00   sec  44.4 KBytes   364 Kbits/sec  45446  
[  4]   9.00-10.00  sec  44.5 KBytes   364 Kbits/sec  45522  
[  4]  10.00-11.00  sec  44.5 KBytes   364 Kbits/sec  45545  
[  4]  11.00-12.00  sec  44.4 KBytes   364 Kbits/sec  45485  
[  4]  12.00-13.00  sec  44.5 KBytes   365 Kbits/sec  45597  
[  4]  13.00-14.00  sec  44.4 KBytes   364 Kbits/sec  45494  
[  4]  14.00-15.00  sec  44.4 KBytes   364 Kbits/sec  45459  
[  4]  15.00-16.00  sec  44.3 KBytes   363 Kbits/sec  45379  
[  4]  16.00-17.00  sec  44.5 KBytes   365 Kbits/sec  45584  
[  4]  17.00-18.00  sec  44.5 KBytes   364 Kbits/sec  45530  
[  4]  18.00-19.00  sec  44.5 KBytes   364 Kbits/sec  45517  
[  4]  19.00-20.00  sec  44.5 KBytes   364 Kbits/sec  45533  
[  4]  20.00-21.00  sec  44.4 KBytes   364 Kbits/sec  45508  
[  4]  21.00-22.00  sec  44.5 KBytes   364 Kbits/sec  45545  
[  4]  22.00-23.00  sec  44.4 KBytes   364 Kbits/sec  45508  
[  4]  23.00-24.00  sec  44.5 KBytes   364 Kbits/sec  45536  
[  4]  24.00-25.00  sec  44.4 KBytes   364 Kbits/sec  45472  
[  4]  25.00-26.00  sec  44.2 KBytes   362 Kbits/sec  45279  
[  4]  26.00-27.00  sec  44.1 KBytes   361 Kbits/sec  45111  
[  4]  27.00-28.00  sec  43.8 KBytes   358 Kbits/sec  44805  
[  4]  28.00-29.00  sec  43.8 KBytes   358 Kbits/sec  44808  
[  4]  29.00-30.00  sec  43.7 KBytes   358 Kbits/sec  44735  
[  4]  30.00-31.00  sec  43.7 KBytes   358 Kbits/sec  44718  
[  4]  31.00-32.00  sec  43.9 KBytes   359 Kbits/sec  44928  
[  4]  32.00-33.00  sec  44.2 KBytes   362 Kbits/sec  45277  
[  4]  33.00-34.00  sec  44.2 KBytes   362 Kbits/sec  45275  
[  4]  34.00-35.00  sec  44.1 KBytes   361 Kbits/sec  45129  
[  4]  35.00-36.00  sec  44.2 KBytes   362 Kbits/sec  45269  
[  4]  36.00-37.00  sec  44.2 KBytes   362 Kbits/sec  45245  
[  4]  37.00-38.00  sec  44.2 KBytes   362 Kbits/sec  45233  
[  4]  38.00-39.00  sec  44.2 KBytes   362 Kbits/sec  45248  
[  4]  39.00-40.00  sec  44.2 KBytes   362 Kbits/sec  45252  
[  4]  40.00-41.00  sec  44.2 KBytes   362 Kbits/sec  45228  
[  4]  41.00-42.00  sec  44.2 KBytes   362 Kbits/sec  45223  
[  4]  42.00-43.00  sec  44.2 KBytes   362 Kbits/sec  45283  
[  4]  43.00-44.00  sec  44.1 KBytes   361 Kbits/sec  45181  
[  4]  44.00-45.00  sec  44.2 KBytes   362 Kbits/sec  45211  
[  4]  45.00-46.00  sec  44.3 KBytes   363 Kbits/sec  45401  
[  4]  46.00-47.00  sec  44.4 KBytes   364 Kbits/sec  45486  
[  4]  47.00-48.00  sec  44.5 KBytes   364 Kbits/sec  45551  
[  4]  48.00-49.00  sec  44.4 KBytes   364 Kbits/sec  45516  
[  4]  49.00-50.00  sec  44.4 KBytes   364 Kbits/sec  45479  
[  4]  50.00-51.00  sec  44.4 KBytes   364 Kbits/sec  45480  
[  4]  51.00-52.00  sec  44.4 KBytes   364 Kbits/sec  45499  
[  4]  52.00-53.00  sec  44.4 KBytes   364 Kbits/sec  45500  
[  4]  53.00-54.00  sec  44.5 KBytes   364 Kbits/sec  45549  
[  4]  54.00-55.00  sec  44.4 KBytes   364 Kbits/sec  45486  
[  4]  55.00-56.00  sec  44.5 KBytes   364 Kbits/sec  45548  
[  4]  56.00-57.00  sec  44.8 KBytes   367 Kbits/sec  45913  
[  4]  57.00-58.00  sec  43.5 KBytes   356 Kbits/sec  44507  
[  4]  58.00-59.00  sec  40.6 KBytes   332 Kbits/sec  41554  
[  4]  59.00-60.00  sec  45.8 KBytes   375 Kbits/sec  46875  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.59 MBytes   362 Kbits/sec  0.044 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
