Connecting to host 172.31.33.192, port 5008
[  4] local 172.31.39.190 port 47201 connected to 172.31.33.192 port 5008
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  43.7 KBytes   358 Kbits/sec  44774  
[  4]   1.00-2.00   sec  43.2 KBytes   354 Kbits/sec  44215  
[  4]   2.00-3.00   sec  43.0 KBytes   352 Kbits/sec  44011  
[  4]   3.00-4.00   sec  42.4 KBytes   348 Kbits/sec  43465  
[  4]   4.00-5.00   sec  40.8 KBytes   334 Kbits/sec  41758  
[  4]   5.00-6.00   sec  41.8 KBytes   343 Kbits/sec  42841  
[  4]   6.00-7.00   sec  42.1 KBytes   345 Kbits/sec  43088  
[  4]   7.00-8.00   sec  42.2 KBytes   346 Kbits/sec  43253  
[  4]   8.00-9.00   sec  41.7 KBytes   342 Kbits/sec  42726  
[  4]   9.00-10.00  sec  41.6 KBytes   341 Kbits/sec  42609  
[  4]  10.00-11.00  sec  41.4 KBytes   339 Kbits/sec  42358  
[  4]  11.00-12.00  sec  41.1 KBytes   337 Kbits/sec  42071  
[  4]  12.00-13.00  sec  41.4 KBytes   339 Kbits/sec  42364  
[  4]  13.00-14.00  sec  41.4 KBytes   339 Kbits/sec  42383  
[  4]  14.00-15.00  sec  41.2 KBytes   338 Kbits/sec  42229  
[  4]  15.00-16.00  sec  41.2 KBytes   337 Kbits/sec  42155  
[  4]  16.00-17.00  sec  41.0 KBytes   336 Kbits/sec  41976  
[  4]  17.00-18.00  sec  41.2 KBytes   337 Kbits/sec  42150  
[  4]  18.00-19.00  sec  41.2 KBytes   338 Kbits/sec  42188  
[  4]  19.00-20.00  sec  41.3 KBytes   339 Kbits/sec  42337  
[  4]  20.00-21.00  sec  41.3 KBytes   338 Kbits/sec  42242  
[  4]  21.00-22.00  sec  41.2 KBytes   338 Kbits/sec  42199  
[  4]  22.00-23.00  sec  41.3 KBytes   339 Kbits/sec  42330  
[  4]  23.00-24.00  sec  42.0 KBytes   344 Kbits/sec  42986  
[  4]  24.00-25.00  sec  41.9 KBytes   343 Kbits/sec  42891  
[  4]  25.00-26.00  sec  41.3 KBytes   338 Kbits/sec  42243  
[  4]  26.00-27.00  sec  41.1 KBytes   337 Kbits/sec  42093  
[  4]  27.00-28.00  sec  41.2 KBytes   337 Kbits/sec  42163  
[  4]  28.00-29.00  sec  41.1 KBytes   337 Kbits/sec  42117  
[  4]  29.00-30.00  sec  41.1 KBytes   337 Kbits/sec  42122  
[  4]  30.00-31.00  sec  41.1 KBytes   337 Kbits/sec  42105  
[  4]  31.00-32.00  sec  41.1 KBytes   337 Kbits/sec  42106  
[  4]  32.00-33.00  sec  41.2 KBytes   337 Kbits/sec  42176  
[  4]  33.00-34.00  sec  41.2 KBytes   338 Kbits/sec  42210  
[  4]  34.00-35.00  sec  41.4 KBytes   339 Kbits/sec  42362  
[  4]  35.00-36.00  sec  41.4 KBytes   339 Kbits/sec  42358  
[  4]  36.00-37.00  sec  41.1 KBytes   337 Kbits/sec  42088  
[  4]  37.00-38.00  sec  41.1 KBytes   336 Kbits/sec  42042  
[  4]  38.00-39.00  sec  41.1 KBytes   336 Kbits/sec  42047  
[  4]  39.00-40.00  sec  41.1 KBytes   336 Kbits/sec  42056  
[  4]  40.00-41.00  sec  41.2 KBytes   337 Kbits/sec  42144  
[  4]  41.00-42.00  sec  40.8 KBytes   334 Kbits/sec  41786  
[  4]  42.00-43.00  sec  40.9 KBytes   335 Kbits/sec  41848  
[  4]  43.00-44.00  sec  40.8 KBytes   334 Kbits/sec  41737  
[  4]  44.00-45.00  sec  40.8 KBytes   334 Kbits/sec  41765  
[  4]  45.00-46.00  sec  40.8 KBytes   334 Kbits/sec  41755  
[  4]  46.00-47.00  sec  40.8 KBytes   334 Kbits/sec  41731  
[  4]  47.00-48.00  sec  41.3 KBytes   338 Kbits/sec  42289  
[  4]  48.00-49.00  sec  41.6 KBytes   340 Kbits/sec  42562  
[  4]  49.00-50.00  sec  41.3 KBytes   339 Kbits/sec  42315  
[  4]  50.00-51.00  sec  41.2 KBytes   338 Kbits/sec  42205  
[  4]  51.00-52.00  sec  41.3 KBytes   338 Kbits/sec  42275  
[  4]  52.00-53.00  sec  41.2 KBytes   337 Kbits/sec  42148  
[  4]  53.00-54.00  sec  41.2 KBytes   337 Kbits/sec  42166  
[  4]  54.00-55.00  sec  41.2 KBytes   337 Kbits/sec  42164  
[  4]  55.00-56.00  sec  41.5 KBytes   340 Kbits/sec  42516  
[  4]  56.00-57.00  sec  42.1 KBytes   345 Kbits/sec  43117  
[  4]  57.00-58.00  sec  42.6 KBytes   349 Kbits/sec  43577  
[  4]  58.00-59.00  sec  43.1 KBytes   353 Kbits/sec  44095  
[  4]  59.00-60.00  sec  43.9 KBytes   360 Kbits/sec  44966  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.43 MBytes   340 Kbits/sec  0.073 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
