Connecting to host 172.31.33.192, port 5004
[  4] local 172.31.34.174 port 35023 connected to 172.31.33.192 port 5004
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  43.7 KBytes   358 Kbits/sec  44715  
[  4]   1.00-2.00   sec  43.3 KBytes   355 Kbits/sec  44389  
[  4]   2.00-3.00   sec  43.2 KBytes   354 Kbits/sec  44279  
[  4]   3.00-4.00   sec  42.6 KBytes   349 Kbits/sec  43654  
[  4]   4.00-5.00   sec  42.1 KBytes   345 Kbits/sec  43105  
[  4]   5.00-6.00   sec  41.3 KBytes   339 Kbits/sec  42322  
[  4]   6.00-7.00   sec  40.7 KBytes   333 Kbits/sec  41680  
[  4]   7.00-8.00   sec  39.2 KBytes   321 Kbits/sec  40129  
[  4]   8.00-9.00   sec  30.1 KBytes   246 Kbits/sec  30804  
[  4]   9.00-10.00  sec  27.7 KBytes   227 Kbits/sec  28345  
[  4]  10.00-11.00  sec  37.2 KBytes   305 Kbits/sec  38067  
[  4]  11.00-12.00  sec  40.4 KBytes   331 Kbits/sec  41325  
[  4]  12.00-13.00  sec  40.2 KBytes   329 Kbits/sec  41140  
[  4]  13.00-14.00  sec  39.9 KBytes   327 Kbits/sec  40813  
[  4]  14.00-15.00  sec  39.8 KBytes   326 Kbits/sec  40796  
[  4]  15.00-16.00  sec  39.9 KBytes   327 Kbits/sec  40843  
[  4]  16.00-17.00  sec  39.9 KBytes   327 Kbits/sec  40820  
[  4]  17.00-18.00  sec  39.8 KBytes   326 Kbits/sec  40764  
[  4]  18.00-19.00  sec  39.9 KBytes   327 Kbits/sec  40847  
[  4]  19.00-20.00  sec  39.8 KBytes   326 Kbits/sec  40706  
[  4]  20.00-21.00  sec  39.9 KBytes   327 Kbits/sec  40842  
[  4]  21.00-22.00  sec  39.9 KBytes   327 Kbits/sec  40814  
[  4]  22.00-23.00  sec  39.8 KBytes   326 Kbits/sec  40772  
[  4]  23.00-24.00  sec  39.8 KBytes   326 Kbits/sec  40804  
[  4]  24.00-25.00  sec  39.9 KBytes   327 Kbits/sec  40847  
[  4]  25.00-26.00  sec  40.6 KBytes   333 Kbits/sec  41612  
[  4]  26.00-27.00  sec  40.9 KBytes   335 Kbits/sec  41922  
[  4]  27.00-28.00  sec  39.9 KBytes   327 Kbits/sec  40883  
[  4]  28.00-29.00  sec  39.8 KBytes   326 Kbits/sec  40786  
[  4]  29.00-30.00  sec  39.8 KBytes   326 Kbits/sec  40744  
[  4]  30.00-31.00  sec  39.8 KBytes   326 Kbits/sec  40745  
[  4]  31.00-32.00  sec  39.7 KBytes   325 Kbits/sec  40619  
[  4]  32.00-33.00  sec  39.8 KBytes   326 Kbits/sec  40733  
[  4]  33.00-34.00  sec  39.9 KBytes   327 Kbits/sec  40897  
[  4]  34.00-35.00  sec  39.7 KBytes   325 Kbits/sec  40672  
[  4]  35.00-36.00  sec  39.8 KBytes   326 Kbits/sec  40748  
[  4]  36.00-37.00  sec  39.8 KBytes   326 Kbits/sec  40774  
[  4]  37.00-38.00  sec  39.8 KBytes   326 Kbits/sec  40742  
[  4]  38.00-39.00  sec  39.8 KBytes   326 Kbits/sec  40747  
[  4]  39.00-40.00  sec  39.7 KBytes   325 Kbits/sec  40637  
[  4]  40.00-41.00  sec  39.7 KBytes   325 Kbits/sec  40644  
[  4]  41.00-42.00  sec  39.8 KBytes   326 Kbits/sec  40779  
[  4]  42.00-43.00  sec  39.7 KBytes   325 Kbits/sec  40661  
[  4]  43.00-44.00  sec  39.4 KBytes   323 Kbits/sec  40358  
[  4]  44.00-45.00  sec  39.4 KBytes   322 Kbits/sec  40302  
[  4]  45.00-46.00  sec  39.5 KBytes   323 Kbits/sec  40405  
[  4]  46.00-47.00  sec  39.6 KBytes   324 Kbits/sec  40530  
[  4]  47.00-48.00  sec  39.6 KBytes   324 Kbits/sec  40514  
[  4]  48.00-49.00  sec  39.5 KBytes   324 Kbits/sec  40487  
[  4]  49.00-50.00  sec  39.6 KBytes   324 Kbits/sec  40547  
[  4]  50.00-51.00  sec  39.8 KBytes   326 Kbits/sec  40783  
[  4]  51.00-52.00  sec  39.7 KBytes   326 Kbits/sec  40702  
[  4]  52.00-53.00  sec  39.8 KBytes   326 Kbits/sec  40760  
[  4]  53.00-54.00  sec  39.7 KBytes   326 Kbits/sec  40689  
[  4]  54.00-55.00  sec  39.8 KBytes   326 Kbits/sec  40707  
[  4]  55.00-56.00  sec  39.7 KBytes   326 Kbits/sec  40697  
[  4]  56.00-57.00  sec  39.8 KBytes   326 Kbits/sec  40722  
[  4]  57.00-58.00  sec  39.9 KBytes   327 Kbits/sec  40833  
[  4]  58.00-59.00  sec  40.8 KBytes   334 Kbits/sec  41763  
[  4]  59.00-60.00  sec  41.1 KBytes   337 Kbits/sec  42088  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.33 MBytes   326 Kbits/sec  0.031 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
