Connecting to host 172.31.33.192, port 5004
[  4] local 172.31.34.174 port 48305 connected to 172.31.33.192 port 5004
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  43.7 KBytes   358 Kbits/sec  44763  
[  4]   1.00-2.00   sec  43.6 KBytes   357 Kbits/sec  44610  
[  4]   2.00-3.00   sec  43.4 KBytes   355 Kbits/sec  44416  
[  4]   3.00-4.00   sec  42.7 KBytes   350 Kbits/sec  43692  
[  4]   4.00-5.00   sec  42.4 KBytes   347 Kbits/sec  43370  
[  4]   5.00-6.00   sec  42.4 KBytes   347 Kbits/sec  43414  
[  4]   6.00-7.00   sec  42.5 KBytes   348 Kbits/sec  43486  
[  4]   7.00-8.00   sec  42.4 KBytes   347 Kbits/sec  43411  
[  4]   8.00-9.00   sec  42.8 KBytes   350 Kbits/sec  43790  
[  4]   9.00-10.00  sec  42.7 KBytes   350 Kbits/sec  43764  
[  4]  10.00-11.00  sec  42.9 KBytes   351 Kbits/sec  43882  
[  4]  11.00-12.00  sec  42.8 KBytes   351 Kbits/sec  43864  
[  4]  12.00-13.00  sec  42.9 KBytes   351 Kbits/sec  43880  
[  4]  13.00-14.00  sec  42.8 KBytes   350 Kbits/sec  43808  
[  4]  14.00-15.00  sec  42.8 KBytes   351 Kbits/sec  43821  
[  4]  15.00-16.00  sec  42.8 KBytes   351 Kbits/sec  43864  
[  4]  16.00-17.00  sec  43.0 KBytes   352 Kbits/sec  43994  
[  4]  17.00-18.00  sec  42.9 KBytes   351 Kbits/sec  43888  
[  4]  18.00-19.00  sec  42.8 KBytes   351 Kbits/sec  43838  
[  4]  19.00-20.00  sec  42.8 KBytes   351 Kbits/sec  43827  
[  4]  20.00-21.00  sec  42.8 KBytes   351 Kbits/sec  43845  
[  4]  21.00-22.00  sec  42.8 KBytes   351 Kbits/sec  43853  
[  4]  22.00-23.00  sec  42.8 KBytes   350 Kbits/sec  43808  
[  4]  23.00-24.00  sec  42.9 KBytes   351 Kbits/sec  43898  
[  4]  24.00-25.00  sec  42.8 KBytes   351 Kbits/sec  43819  
[  4]  25.00-26.00  sec  42.8 KBytes   351 Kbits/sec  43840  
[  4]  26.00-27.00  sec  42.9 KBytes   351 Kbits/sec  43881  
[  4]  27.00-28.00  sec  42.8 KBytes   350 Kbits/sec  43798  
[  4]  28.00-29.00  sec  42.8 KBytes   351 Kbits/sec  43877  
[  4]  29.00-30.00  sec  42.8 KBytes   351 Kbits/sec  43841  
[  4]  30.00-31.00  sec  42.8 KBytes   350 Kbits/sec  43789  
[  4]  31.00-32.00  sec  42.8 KBytes   351 Kbits/sec  43870  
[  4]  32.00-33.00  sec  42.8 KBytes   351 Kbits/sec  43878  
[  4]  33.00-34.00  sec  42.9 KBytes   352 Kbits/sec  43970  
[  4]  34.00-35.00  sec  42.8 KBytes   351 Kbits/sec  43856  
[  4]  35.00-36.00  sec  42.9 KBytes   351 Kbits/sec  43898  
[  4]  36.00-37.00  sec  42.9 KBytes   351 Kbits/sec  43907  
[  4]  37.00-38.00  sec  42.9 KBytes   352 Kbits/sec  43945  
[  4]  38.00-39.00  sec  42.9 KBytes   351 Kbits/sec  43889  
[  4]  39.00-40.00  sec  42.6 KBytes   349 Kbits/sec  43666  
[  4]  40.00-41.00  sec  42.6 KBytes   349 Kbits/sec  43602  
[  4]  41.00-42.00  sec  42.5 KBytes   349 Kbits/sec  43567  
[  4]  42.00-43.00  sec  42.6 KBytes   349 Kbits/sec  43626  
[  4]  43.00-44.00  sec  42.5 KBytes   349 Kbits/sec  43567  
[  4]  44.00-45.00  sec  42.5 KBytes   348 Kbits/sec  43531  
[  4]  45.00-46.00  sec  42.6 KBytes   349 Kbits/sec  43636  
[  4]  46.00-47.00  sec  42.6 KBytes   349 Kbits/sec  43607  
[  4]  47.00-48.00  sec  42.8 KBytes   350 Kbits/sec  43813  
[  4]  48.00-49.00  sec  42.8 KBytes   351 Kbits/sec  43876  
[  4]  49.00-50.00  sec  42.9 KBytes   352 Kbits/sec  43941  
[  4]  50.00-51.00  sec  42.9 KBytes   351 Kbits/sec  43900  
[  4]  51.00-52.00  sec  42.8 KBytes   351 Kbits/sec  43866  
[  4]  52.00-53.00  sec  42.9 KBytes   351 Kbits/sec  43888  
[  4]  53.00-54.00  sec  42.8 KBytes   351 Kbits/sec  43871  
[  4]  54.00-55.00  sec  42.9 KBytes   352 Kbits/sec  43939  
[  4]  55.00-56.00  sec  42.9 KBytes   351 Kbits/sec  43930  
[  4]  56.00-57.00  sec  42.9 KBytes   351 Kbits/sec  43900  
[  4]  57.00-58.00  sec  43.1 KBytes   353 Kbits/sec  44107  
[  4]  58.00-59.00  sec  41.6 KBytes   341 Kbits/sec  42575  
[  4]  59.00-60.00  sec  42.7 KBytes   350 Kbits/sec  43724  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.51 MBytes   351 Kbits/sec  0.056 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
