Connecting to host 172.31.33.192, port 5004
[  4] local 172.31.34.174 port 33520 connected to 172.31.33.192 port 5004
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  43.7 KBytes   358 Kbits/sec  44734  
[  4]   1.00-2.00   sec  43.3 KBytes   355 Kbits/sec  44383  
[  4]   2.00-3.00   sec  43.3 KBytes   355 Kbits/sec  44356  
[  4]   3.00-4.00   sec  42.6 KBytes   349 Kbits/sec  43609  
[  4]   4.00-5.00   sec  42.4 KBytes   347 Kbits/sec  43396  
[  4]   5.00-6.00   sec  42.5 KBytes   348 Kbits/sec  43528  
[  4]   6.00-7.00   sec  42.6 KBytes   349 Kbits/sec  43608  
[  4]   7.00-8.00   sec  42.7 KBytes   350 Kbits/sec  43703  
[  4]   8.00-9.00   sec  42.1 KBytes   345 Kbits/sec  43070  
[  4]   9.00-10.00  sec  42.1 KBytes   345 Kbits/sec  43156  
[  4]  10.00-11.00  sec  42.1 KBytes   345 Kbits/sec  43073  
[  4]  11.00-12.00  sec  42.6 KBytes   349 Kbits/sec  43614  
[  4]  12.00-13.00  sec  43.0 KBytes   352 Kbits/sec  44035  
[  4]  13.00-14.00  sec  42.2 KBytes   346 Kbits/sec  43217  
[  4]  14.00-15.00  sec  41.8 KBytes   342 Kbits/sec  42783  
[  4]  15.00-16.00  sec  41.8 KBytes   342 Kbits/sec  42806  
[  4]  16.00-17.00  sec  41.8 KBytes   342 Kbits/sec  42779  
[  4]  17.00-18.00  sec  41.7 KBytes   341 Kbits/sec  42650  
[  4]  18.00-19.00  sec  41.7 KBytes   342 Kbits/sec  42693  
[  4]  19.00-20.00  sec  41.5 KBytes   340 Kbits/sec  42526  
[  4]  20.00-21.00  sec  41.4 KBytes   339 Kbits/sec  42412  
[  4]  21.00-22.00  sec  41.4 KBytes   339 Kbits/sec  42424  
[  4]  22.00-23.00  sec  41.3 KBytes   339 Kbits/sec  42319  
[  4]  23.00-24.00  sec  41.3 KBytes   338 Kbits/sec  42248  
[  4]  24.00-25.00  sec  41.2 KBytes   338 Kbits/sec  42229  
[  4]  25.00-26.00  sec  41.1 KBytes   337 Kbits/sec  42102  
[  4]  26.00-27.00  sec  41.2 KBytes   338 Kbits/sec  42190  
[  4]  27.00-28.00  sec  41.3 KBytes   338 Kbits/sec  42288  
[  4]  28.00-29.00  sec  41.3 KBytes   338 Kbits/sec  42285  
[  4]  29.00-30.00  sec  41.3 KBytes   338 Kbits/sec  42269  
[  4]  30.00-31.00  sec  41.3 KBytes   338 Kbits/sec  42258  
[  4]  31.00-32.00  sec  41.3 KBytes   339 Kbits/sec  42327  
[  4]  32.00-33.00  sec  41.3 KBytes   339 Kbits/sec  42327  
[  4]  33.00-34.00  sec  41.3 KBytes   338 Kbits/sec  42253  
[  4]  34.00-35.00  sec  41.3 KBytes   339 Kbits/sec  42328  
[  4]  35.00-36.00  sec  41.1 KBytes   337 Kbits/sec  42136  
[  4]  36.00-37.00  sec  41.4 KBytes   339 Kbits/sec  42350  
[  4]  37.00-38.00  sec  41.2 KBytes   338 Kbits/sec  42198  
[  4]  38.00-39.00  sec  41.4 KBytes   339 Kbits/sec  42383  
[  4]  39.00-40.00  sec  41.3 KBytes   338 Kbits/sec  42292  
[  4]  40.00-41.00  sec  41.2 KBytes   337 Kbits/sec  42168  
[  4]  41.00-42.00  sec  41.3 KBytes   338 Kbits/sec  42301  
[  4]  42.00-43.00  sec  41.3 KBytes   338 Kbits/sec  42312  
[  4]  43.00-44.00  sec  41.2 KBytes   338 Kbits/sec  42224  
[  4]  44.00-45.00  sec  41.3 KBytes   338 Kbits/sec  42296  
[  4]  45.00-46.00  sec  41.1 KBytes   337 Kbits/sec  42130  
[  4]  46.00-47.00  sec  40.9 KBytes   335 Kbits/sec  41832  
[  4]  47.00-48.00  sec  40.8 KBytes   334 Kbits/sec  41760  
[  4]  48.00-49.00  sec  40.8 KBytes   335 Kbits/sec  41813  
[  4]  49.00-50.00  sec  40.8 KBytes   334 Kbits/sec  41810  
[  4]  50.00-51.00  sec  41.3 KBytes   338 Kbits/sec  42311  
[  4]  51.00-52.00  sec  41.9 KBytes   343 Kbits/sec  42857  
[  4]  52.00-53.00  sec  42.0 KBytes   344 Kbits/sec  42966  
[  4]  53.00-54.00  sec  41.9 KBytes   344 Kbits/sec  42954  
[  4]  54.00-55.00  sec  42.1 KBytes   345 Kbits/sec  43080  
[  4]  55.00-56.00  sec  42.1 KBytes   345 Kbits/sec  43064  
[  4]  56.00-57.00  sec  41.6 KBytes   341 Kbits/sec  42635  
[  4]  57.00-58.00  sec  41.5 KBytes   340 Kbits/sec  42484  
[  4]  58.00-59.00  sec  42.2 KBytes   345 Kbits/sec  43179  
[  4]  59.00-60.00  sec  42.8 KBytes   350 Kbits/sec  43787  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.44 MBytes   342 Kbits/sec  0.082 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
