Connecting to host 172.31.33.192, port 5001
[  4] local 172.31.40.156 port 42368 connected to 172.31.33.192 port 5001
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  47.4 KBytes   388 Kbits/sec  48522  
[  4]   1.00-2.00   sec  46.8 KBytes   383 Kbits/sec  47873  
[  4]   2.00-3.00   sec  46.3 KBytes   379 Kbits/sec  47428  
[  4]   3.00-4.00   sec  46.3 KBytes   379 Kbits/sec  47403  
[  4]   4.00-5.00   sec  46.0 KBytes   377 Kbits/sec  47106  
[  4]   5.00-6.00   sec  45.5 KBytes   373 Kbits/sec  46591  
[  4]   6.00-7.00   sec  45.2 KBytes   371 Kbits/sec  46317  
[  4]   7.00-8.00   sec  45.2 KBytes   370 Kbits/sec  46243  
[  4]   8.00-9.00   sec  45.1 KBytes   369 Kbits/sec  46160  
[  4]   9.00-10.00  sec  45.1 KBytes   369 Kbits/sec  46158  
[  4]  10.00-11.00  sec  45.1 KBytes   370 Kbits/sec  46195  
[  4]  11.00-12.00  sec  45.1 KBytes   370 Kbits/sec  46231  
[  4]  12.00-13.00  sec  45.2 KBytes   370 Kbits/sec  46248  
[  4]  13.00-14.00  sec  45.2 KBytes   370 Kbits/sec  46267  
[  4]  14.00-15.00  sec  45.1 KBytes   369 Kbits/sec  46147  
[  4]  15.00-16.00  sec  45.1 KBytes   369 Kbits/sec  46179  
[  4]  16.00-17.00  sec  45.0 KBytes   369 Kbits/sec  46118  
[  4]  17.00-18.00  sec  45.1 KBytes   369 Kbits/sec  46148  
[  4]  18.00-19.00  sec  45.1 KBytes   369 Kbits/sec  46168  
[  4]  19.00-20.00  sec  45.1 KBytes   370 Kbits/sec  46209  
[  4]  20.00-21.00  sec  45.1 KBytes   369 Kbits/sec  46161  
[  4]  21.00-22.00  sec  45.1 KBytes   370 Kbits/sec  46217  
[  4]  22.00-23.00  sec  45.1 KBytes   369 Kbits/sec  46173  
[  4]  23.00-24.00  sec  45.0 KBytes   369 Kbits/sec  46106  
[  4]  24.00-25.00  sec  45.0 KBytes   368 Kbits/sec  46061  
[  4]  25.00-26.00  sec  45.2 KBytes   370 Kbits/sec  46288  
[  4]  26.00-27.00  sec  45.1 KBytes   369 Kbits/sec  46156  
[  4]  27.00-28.00  sec  45.1 KBytes   369 Kbits/sec  46154  
[  4]  28.00-29.00  sec  45.1 KBytes   370 Kbits/sec  46219  
[  4]  29.00-30.00  sec  45.0 KBytes   369 Kbits/sec  46131  
[  4]  30.00-31.00  sec  45.1 KBytes   370 Kbits/sec  46218  
[  4]  31.00-32.00  sec  45.2 KBytes   370 Kbits/sec  46253  
[  4]  32.00-33.00  sec  45.1 KBytes   369 Kbits/sec  46143  
[  4]  33.00-34.00  sec  45.1 KBytes   370 Kbits/sec  46224  
[  4]  34.00-35.00  sec  45.1 KBytes   370 Kbits/sec  46216  
[  4]  35.00-36.00  sec  45.1 KBytes   369 Kbits/sec  46133  
[  4]  36.00-37.00  sec  45.2 KBytes   370 Kbits/sec  46302  
[  4]  37.00-38.00  sec  45.2 KBytes   370 Kbits/sec  46263  
[  4]  38.00-39.00  sec  45.2 KBytes   371 Kbits/sec  46319  
[  4]  39.00-40.00  sec  45.2 KBytes   370 Kbits/sec  46294  
[  4]  40.00-41.00  sec  45.2 KBytes   371 Kbits/sec  46330  
[  4]  41.00-42.00  sec  45.2 KBytes   371 Kbits/sec  46321  
[  4]  42.00-43.00  sec  45.3 KBytes   371 Kbits/sec  46358  
[  4]  43.00-44.00  sec  45.3 KBytes   371 Kbits/sec  46405  
[  4]  44.00-45.00  sec  45.3 KBytes   371 Kbits/sec  46368  
[  4]  45.00-46.00  sec  45.2 KBytes   370 Kbits/sec  46286  
[  4]  46.00-47.00  sec  45.3 KBytes   371 Kbits/sec  46349  
[  4]  47.00-48.00  sec  45.1 KBytes   369 Kbits/sec  46146  
[  4]  48.00-49.00  sec  45.0 KBytes   369 Kbits/sec  46098  
[  4]  49.00-50.00  sec  44.9 KBytes   368 Kbits/sec  46024  
[  4]  50.00-51.00  sec  45.0 KBytes   368 Kbits/sec  46057  
[  4]  51.00-52.00  sec  45.0 KBytes   368 Kbits/sec  46044  
[  4]  52.00-53.00  sec  45.0 KBytes   369 Kbits/sec  46091  
[  4]  53.00-54.00  sec  44.9 KBytes   368 Kbits/sec  46027  
[  4]  54.00-55.00  sec  45.1 KBytes   370 Kbits/sec  46233  
[  4]  55.00-56.00  sec  45.3 KBytes   371 Kbits/sec  46347  
[  4]  56.00-57.00  sec  45.3 KBytes   371 Kbits/sec  46409  
[  4]  57.00-58.00  sec  45.4 KBytes   372 Kbits/sec  46440  
[  4]  58.00-59.00  sec  45.2 KBytes   370 Kbits/sec  46258  
[  4]  59.00-60.00  sec  45.2 KBytes   370 Kbits/sec  46287  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.65 MBytes   371 Kbits/sec  0.086 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
