Connecting to host 172.31.33.192, port 5000
[  4] local 172.31.40.156 port 36971 connected to 172.31.33.192 port 5000
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  47.3 KBytes   387 Kbits/sec  48419  
[  4]   1.00-2.00   sec  46.6 KBytes   382 Kbits/sec  47704  
[  4]   2.00-3.00   sec  46.1 KBytes   378 Kbits/sec  47218  
[  4]   3.00-4.00   sec  46.0 KBytes   377 Kbits/sec  47148  
[  4]   4.00-5.00   sec  46.0 KBytes   377 Kbits/sec  47155  
[  4]   5.00-6.00   sec  45.7 KBytes   375 Kbits/sec  46816  
[  4]   6.00-7.00   sec  45.4 KBytes   372 Kbits/sec  46528  
[  4]   7.00-8.00   sec  45.4 KBytes   372 Kbits/sec  46526  
[  4]   8.00-9.00   sec  45.3 KBytes   372 Kbits/sec  46437  
[  4]   9.00-10.00  sec  45.5 KBytes   372 Kbits/sec  46543  
[  4]  10.00-11.00  sec  45.3 KBytes   372 Kbits/sec  46438  
[  4]  11.00-12.00  sec  45.5 KBytes   373 Kbits/sec  46569  
[  4]  12.00-13.00  sec  45.3 KBytes   371 Kbits/sec  46432  
[  4]  13.00-14.00  sec  45.4 KBytes   372 Kbits/sec  46516  
[  4]  14.00-15.00  sec  45.6 KBytes   374 Kbits/sec  46697  
[  4]  15.00-16.00  sec  45.5 KBytes   373 Kbits/sec  46578  
[  4]  16.00-17.00  sec  45.5 KBytes   373 Kbits/sec  46596  
[  4]  17.00-18.00  sec  45.4 KBytes   372 Kbits/sec  46492  
[  4]  18.00-19.00  sec  45.4 KBytes   372 Kbits/sec  46503  
[  4]  19.00-20.00  sec  45.4 KBytes   372 Kbits/sec  46467  
[  4]  20.00-21.00  sec  45.4 KBytes   372 Kbits/sec  46464  
[  4]  21.00-22.00  sec  45.4 KBytes   372 Kbits/sec  46536  
[  4]  22.00-23.00  sec  45.5 KBytes   373 Kbits/sec  46577  
[  4]  23.00-24.00  sec  45.6 KBytes   373 Kbits/sec  46651  
[  4]  24.00-25.00  sec  45.7 KBytes   374 Kbits/sec  46761  
[  4]  25.00-26.00  sec  45.7 KBytes   374 Kbits/sec  46767  
[  4]  26.00-27.00  sec  45.7 KBytes   374 Kbits/sec  46782  
[  4]  27.00-28.00  sec  45.8 KBytes   375 Kbits/sec  46866  
[  4]  28.00-29.00  sec  45.7 KBytes   375 Kbits/sec  46846  
[  4]  29.00-30.00  sec  45.5 KBytes   372 Kbits/sec  46546  
[  4]  30.00-31.00  sec  45.2 KBytes   370 Kbits/sec  46283  
[  4]  31.00-32.00  sec  45.0 KBytes   369 Kbits/sec  46121  
[  4]  32.00-33.00  sec  45.1 KBytes   369 Kbits/sec  46137  
[  4]  33.00-34.00  sec  45.0 KBytes   369 Kbits/sec  46077  
[  4]  34.00-35.00  sec  45.7 KBytes   374 Kbits/sec  46760  
[  4]  35.00-36.00  sec  45.7 KBytes   375 Kbits/sec  46840  
[  4]  36.00-37.00  sec  45.8 KBytes   375 Kbits/sec  46873  
[  4]  37.00-38.00  sec  45.9 KBytes   376 Kbits/sec  46965  
[  4]  38.00-39.00  sec  45.8 KBytes   375 Kbits/sec  46924  
[  4]  39.00-40.00  sec  45.8 KBytes   376 Kbits/sec  46939  
[  4]  40.00-41.00  sec  45.8 KBytes   375 Kbits/sec  46933  
[  4]  41.00-42.00  sec  45.8 KBytes   375 Kbits/sec  46928  
[  4]  42.00-43.00  sec  45.9 KBytes   376 Kbits/sec  46953  
[  4]  43.00-44.00  sec  45.6 KBytes   373 Kbits/sec  46685  
[  4]  44.00-45.00  sec  45.7 KBytes   374 Kbits/sec  46761  
[  4]  45.00-46.00  sec  45.8 KBytes   375 Kbits/sec  46860  
[  4]  46.00-47.00  sec  45.9 KBytes   376 Kbits/sec  47001  
[  4]  47.00-48.00  sec  45.9 KBytes   376 Kbits/sec  46991  
[  4]  48.00-49.00  sec  45.8 KBytes   375 Kbits/sec  46900  
[  4]  49.00-50.00  sec  45.6 KBytes   374 Kbits/sec  46705  
[  4]  50.00-51.00  sec  45.7 KBytes   374 Kbits/sec  46806  
[  4]  51.00-52.00  sec  45.7 KBytes   375 Kbits/sec  46846  
[  4]  52.00-53.00  sec  45.8 KBytes   375 Kbits/sec  46921  
[  4]  53.00-54.00  sec  45.7 KBytes   374 Kbits/sec  46807  
[  4]  54.00-55.00  sec  45.8 KBytes   375 Kbits/sec  46928  
[  4]  55.00-56.00  sec  45.8 KBytes   375 Kbits/sec  46933  
[  4]  56.00-57.00  sec  45.8 KBytes   376 Kbits/sec  46944  
[  4]  57.00-58.00  sec  45.8 KBytes   375 Kbits/sec  46860  
[  4]  58.00-59.00  sec  45.8 KBytes   375 Kbits/sec  46936  
[  4]  59.00-60.00  sec  45.7 KBytes   375 Kbits/sec  46836  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.68 MBytes   374 Kbits/sec  0.078 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
