Connecting to host 172.31.33.192, port 5001
[  4] local 172.31.40.156 port 47996 connected to 172.31.33.192 port 5001
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  70.0 KBytes   574 Kbits/sec  71718  
[  4]   1.00-2.00   sec  69.7 KBytes   571 Kbits/sec  71326  
[  4]   2.00-3.00   sec  69.6 KBytes   570 Kbits/sec  71222  
[  4]   3.00-4.00   sec  69.6 KBytes   570 Kbits/sec  71309  
[  4]   4.00-5.00   sec  69.7 KBytes   571 Kbits/sec  71378  
[  4]   5.00-6.00   sec  70.1 KBytes   575 Kbits/sec  71815  
[  4]   6.00-7.00   sec  69.8 KBytes   572 Kbits/sec  71511  
[  4]   7.00-8.00   sec  69.3 KBytes   567 Kbits/sec  70927  
[  4]   8.00-9.00   sec  69.0 KBytes   566 Kbits/sec  70696  
[  4]   9.00-10.00  sec  68.6 KBytes   562 Kbits/sec  70267  
[  4]  10.00-11.00  sec  68.5 KBytes   561 Kbits/sec  70134  
[  4]  11.00-12.00  sec  68.3 KBytes   560 Kbits/sec  69978  
[  4]  12.00-13.00  sec  68.3 KBytes   559 Kbits/sec  69917  
[  4]  13.00-14.00  sec  68.3 KBytes   560 Kbits/sec  69938  
[  4]  14.00-15.00  sec  68.2 KBytes   559 Kbits/sec  69882  
[  4]  15.00-16.00  sec  68.2 KBytes   558 Kbits/sec  69810  
[  4]  16.00-17.00  sec  68.2 KBytes   559 Kbits/sec  69815  
[  4]  17.00-18.00  sec  68.2 KBytes   558 Kbits/sec  69805  
[  4]  18.00-19.00  sec  68.2 KBytes   558 Kbits/sec  69794  
[  4]  19.00-20.00  sec  68.2 KBytes   559 Kbits/sec  69827  
[  4]  20.00-21.00  sec  68.2 KBytes   559 Kbits/sec  69862  
[  4]  21.00-22.00  sec  68.2 KBytes   559 Kbits/sec  69849  
[  4]  22.00-23.00  sec  68.2 KBytes   559 Kbits/sec  69829  
[  4]  23.00-24.00  sec  68.2 KBytes   559 Kbits/sec  69842  
[  4]  24.00-25.00  sec  68.3 KBytes   559 Kbits/sec  69900  
[  4]  25.00-26.00  sec  68.2 KBytes   558 Kbits/sec  69797  
[  4]  26.00-27.00  sec  68.2 KBytes   559 Kbits/sec  69846  
[  4]  27.00-28.00  sec  68.2 KBytes   558 Kbits/sec  69807  
[  4]  28.00-29.00  sec  68.3 KBytes   559 Kbits/sec  69896  
[  4]  29.00-30.00  sec  68.0 KBytes   557 Kbits/sec  69633  
[  4]  30.00-31.00  sec  67.7 KBytes   554 Kbits/sec  69291  
[  4]  31.00-32.00  sec  67.8 KBytes   555 Kbits/sec  69393  
[  4]  32.00-33.00  sec  67.7 KBytes   555 Kbits/sec  69313  
[  4]  33.00-34.00  sec  67.7 KBytes   555 Kbits/sec  69316  
[  4]  34.00-35.00  sec  67.7 KBytes   554 Kbits/sec  69285  
[  4]  35.00-36.00  sec  68.2 KBytes   559 Kbits/sec  69841  
[  4]  36.00-37.00  sec  68.7 KBytes   563 Kbits/sec  70352  
[  4]  37.00-38.00  sec  68.4 KBytes   560 Kbits/sec  69999  
[  4]  38.00-39.00  sec  68.3 KBytes   559 Kbits/sec  69889  
[  4]  39.00-40.00  sec  68.3 KBytes   559 Kbits/sec  69913  
[  4]  40.00-41.00  sec  68.2 KBytes   559 Kbits/sec  69841  
[  4]  41.00-42.00  sec  68.3 KBytes   559 Kbits/sec  69896  
[  4]  42.00-43.00  sec  68.1 KBytes   558 Kbits/sec  69748  
[  4]  43.00-44.00  sec  68.1 KBytes   558 Kbits/sec  69773  
[  4]  44.00-45.00  sec  68.2 KBytes   558 Kbits/sec  69803  
[  4]  45.00-46.00  sec  68.1 KBytes   558 Kbits/sec  69705  
[  4]  46.00-47.00  sec  68.0 KBytes   557 Kbits/sec  69679  
[  4]  47.00-48.00  sec  68.0 KBytes   557 Kbits/sec  69630  
[  4]  48.00-49.00  sec  68.1 KBytes   558 Kbits/sec  69702  
[  4]  49.00-50.00  sec  68.1 KBytes   558 Kbits/sec  69734  
[  4]  50.00-51.00  sec  68.1 KBytes   558 Kbits/sec  69773  
[  4]  51.00-52.00  sec  68.1 KBytes   558 Kbits/sec  69733  
[  4]  52.00-53.00  sec  68.1 KBytes   558 Kbits/sec  69698  
[  4]  53.00-54.00  sec  68.0 KBytes   557 Kbits/sec  69673  
[  4]  54.00-55.00  sec  68.1 KBytes   558 Kbits/sec  69701  
[  4]  55.00-56.00  sec  68.0 KBytes   557 Kbits/sec  69637  
[  4]  56.00-57.00  sec  68.1 KBytes   558 Kbits/sec  69688  
[  4]  57.00-58.00  sec  67.9 KBytes   556 Kbits/sec  69526  
[  4]  58.00-59.00  sec  68.0 KBytes   557 Kbits/sec  69590  
[  4]  59.00-60.00  sec  68.1 KBytes   558 Kbits/sec  69759  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  4.01 MBytes   560 Kbits/sec  0.014 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
