Connecting to host 172.31.33.192, port 5000
[  4] local 172.31.40.156 port 50428 connected to 172.31.33.192 port 5000
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  81.0 KBytes   664 Kbits/sec  82964  
[  4]   1.00-2.00   sec  76.8 KBytes   629 Kbits/sec  78676  
[  4]   2.00-3.00   sec  76.8 KBytes   629 Kbits/sec  78656  
[  4]   3.00-4.00   sec  77.8 KBytes   638 Kbits/sec  79703  
[  4]   4.00-5.00   sec  76.8 KBytes   629 Kbits/sec  78660  
[  4]   5.00-6.00   sec  76.8 KBytes   629 Kbits/sec  78626  
[  4]   6.00-7.00   sec  76.0 KBytes   622 Kbits/sec  77777  
[  4]   7.00-8.00   sec  74.9 KBytes   613 Kbits/sec  76673  
[  4]   8.00-9.00   sec  74.7 KBytes   612 Kbits/sec  76526  
[  4]   9.00-10.00  sec  73.9 KBytes   605 Kbits/sec  75646  
[  4]  10.00-11.00  sec  75.1 KBytes   615 Kbits/sec  76885  
[  4]  11.00-12.00  sec  75.1 KBytes   615 Kbits/sec  76870  
[  4]  12.00-13.00  sec  74.7 KBytes   612 Kbits/sec  76493  
[  4]  13.00-14.00  sec  72.8 KBytes   597 Kbits/sec  74566  
[  4]  14.00-15.00  sec  72.0 KBytes   589 Kbits/sec  73677  
[  4]  15.00-16.00  sec  73.3 KBytes   601 Kbits/sec  75077  
[  4]  16.00-17.00  sec  73.9 KBytes   605 Kbits/sec  75630  
[  4]  17.00-18.00  sec  74.3 KBytes   609 Kbits/sec  76127  
[  4]  18.00-19.00  sec  76.4 KBytes   626 Kbits/sec  78237  
[  4]  19.00-20.00  sec  74.9 KBytes   614 Kbits/sec  76690  
[  4]  20.00-21.00  sec  74.9 KBytes   614 Kbits/sec  76735  
[  4]  21.00-22.00  sec  75.0 KBytes   615 Kbits/sec  76835  
[  4]  22.00-23.00  sec  74.1 KBytes   607 Kbits/sec  75879  
[  4]  23.00-24.00  sec  74.1 KBytes   607 Kbits/sec  75928  
[  4]  24.00-25.00  sec  74.8 KBytes   613 Kbits/sec  76614  
[  4]  25.00-26.00  sec  74.6 KBytes   611 Kbits/sec  76400  
[  4]  26.00-27.00  sec  74.0 KBytes   606 Kbits/sec  75810  
[  4]  27.00-28.00  sec  37.6 KBytes   308 Kbits/sec  38534  
[  4]  28.00-29.00  sec  64.1 KBytes   525 Kbits/sec  65590  
[  4]  29.00-30.00  sec  75.3 KBytes   617 Kbits/sec  77115  
[  4]  30.00-31.00  sec  74.4 KBytes   610 Kbits/sec  76235  
[  4]  31.00-32.00  sec  74.3 KBytes   609 Kbits/sec  76087  
[  4]  32.00-33.00  sec  75.0 KBytes   614 Kbits/sec  76776  
[  4]  33.00-34.00  sec  75.5 KBytes   618 Kbits/sec  77272  
[  4]  34.00-35.00  sec  76.8 KBytes   629 Kbits/sec  78659  
[  4]  35.00-36.00  sec  74.4 KBytes   610 Kbits/sec  76212  
[  4]  36.00-37.00  sec  73.8 KBytes   605 Kbits/sec  75615  
[  4]  37.00-38.00  sec  74.4 KBytes   609 Kbits/sec  76165  
[  4]  38.00-39.00  sec  74.7 KBytes   612 Kbits/sec  76532  
[  4]  39.00-40.00  sec  74.9 KBytes   614 Kbits/sec  76690  
[  4]  40.00-41.00  sec  75.9 KBytes   622 Kbits/sec  77706  
[  4]  41.00-42.00  sec  76.3 KBytes   625 Kbits/sec  78088  
[  4]  42.00-43.00  sec  76.3 KBytes   625 Kbits/sec  78132  
[  4]  43.00-44.00  sec  75.3 KBytes   617 Kbits/sec  77095  
[  4]  44.00-45.00  sec  75.6 KBytes   619 Kbits/sec  77367  
[  4]  45.00-46.00  sec  74.0 KBytes   606 Kbits/sec  75766  
[  4]  46.00-47.00  sec  74.1 KBytes   607 Kbits/sec  75875  
[  4]  47.00-48.00  sec  74.3 KBytes   608 Kbits/sec  76052  
[  4]  48.00-49.00  sec  74.3 KBytes   608 Kbits/sec  76054  
[  4]  49.00-50.00  sec  74.4 KBytes   609 Kbits/sec  76187  
[  4]  50.00-51.00  sec  74.8 KBytes   613 Kbits/sec  76581  
[  4]  51.00-52.00  sec  74.9 KBytes   614 Kbits/sec  76736  
[  4]  52.00-53.00  sec  75.5 KBytes   618 Kbits/sec  77275  
[  4]  53.00-54.00  sec  75.0 KBytes   614 Kbits/sec  76801  
[  4]  54.00-55.00  sec  74.5 KBytes   610 Kbits/sec  76273  
[  4]  55.00-56.00  sec  75.1 KBytes   615 Kbits/sec  76935  
[  4]  56.00-57.00  sec  75.3 KBytes   617 Kbits/sec  77134  
[  4]  57.00-58.00  sec  75.0 KBytes   615 Kbits/sec  76835  
[  4]  58.00-59.00  sec  75.5 KBytes   619 Kbits/sec  77362  
[  4]  59.00-60.00  sec  76.7 KBytes   629 Kbits/sec  78580  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  4.35 MBytes   609 Kbits/sec  0.019 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
