Connecting to host 172.31.33.192, port 5000
[  4] local 172.31.40.156 port 49918 connected to 172.31.33.192 port 5000
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  47.6 KBytes   390 Kbits/sec  48715  
[  4]   1.00-2.00   sec  46.8 KBytes   383 Kbits/sec  47878  
[  4]   2.00-3.00   sec  46.3 KBytes   379 Kbits/sec  47422  
[  4]   3.00-4.00   sec  46.2 KBytes   379 Kbits/sec  47316  
[  4]   4.00-5.00   sec  46.0 KBytes   377 Kbits/sec  47097  
[  4]   5.00-6.00   sec  46.2 KBytes   378 Kbits/sec  47273  
[  4]   6.00-7.00   sec  46.2 KBytes   378 Kbits/sec  47279  
[  4]   7.00-8.00   sec  46.2 KBytes   378 Kbits/sec  47292  
[  4]   8.00-9.00   sec  46.1 KBytes   378 Kbits/sec  47240  
[  4]   9.00-10.00  sec  46.1 KBytes   378 Kbits/sec  47234  
[  4]  10.00-11.00  sec  46.1 KBytes   378 Kbits/sec  47209  
[  4]  11.00-12.00  sec  46.2 KBytes   378 Kbits/sec  47272  
[  4]  12.00-13.00  sec  46.2 KBytes   378 Kbits/sec  47276  
[  4]  13.00-14.00  sec  46.2 KBytes   378 Kbits/sec  47260  
[  4]  14.00-15.00  sec  46.2 KBytes   378 Kbits/sec  47276  
[  4]  15.00-16.00  sec  46.2 KBytes   378 Kbits/sec  47264  
[  4]  16.00-17.00  sec  46.1 KBytes   378 Kbits/sec  47201  
[  4]  17.00-18.00  sec  46.3 KBytes   379 Kbits/sec  47382  
[  4]  18.00-19.00  sec  46.1 KBytes   378 Kbits/sec  47194  
[  4]  19.00-20.00  sec  46.1 KBytes   377 Kbits/sec  47165  
[  4]  20.00-21.00  sec  46.2 KBytes   379 Kbits/sec  47356  
[  4]  21.00-22.00  sec  46.2 KBytes   379 Kbits/sec  47311  
[  4]  22.00-23.00  sec  46.0 KBytes   377 Kbits/sec  47124  
[  4]  23.00-24.00  sec  46.1 KBytes   377 Kbits/sec  47163  
[  4]  24.00-25.00  sec  46.2 KBytes   379 Kbits/sec  47341  
[  4]  25.00-26.00  sec  46.2 KBytes   378 Kbits/sec  47308  
[  4]  26.00-27.00  sec  46.2 KBytes   379 Kbits/sec  47303  
[  4]  27.00-28.00  sec  46.0 KBytes   377 Kbits/sec  47128  
[  4]  28.00-29.00  sec  46.0 KBytes   377 Kbits/sec  47120  
[  4]  29.00-30.00  sec  46.0 KBytes   377 Kbits/sec  47073  
[  4]  30.00-31.00  sec  46.0 KBytes   377 Kbits/sec  47148  
[  4]  31.00-32.00  sec  45.9 KBytes   376 Kbits/sec  46997  
[  4]  32.00-33.00  sec  45.7 KBytes   375 Kbits/sec  46822  
[  4]  33.00-34.00  sec  45.5 KBytes   373 Kbits/sec  46613  
[  4]  34.00-35.00  sec  45.5 KBytes   373 Kbits/sec  46564  
[  4]  35.00-36.00  sec  45.6 KBytes   373 Kbits/sec  46679  
[  4]  36.00-37.00  sec  45.9 KBytes   376 Kbits/sec  46998  
[  4]  37.00-38.00  sec  46.3 KBytes   379 Kbits/sec  47393  
[  4]  38.00-39.00  sec  46.4 KBytes   380 Kbits/sec  47538  
[  4]  39.00-40.00  sec  46.4 KBytes   380 Kbits/sec  47487  
[  4]  40.00-41.00  sec  46.4 KBytes   380 Kbits/sec  47509  
[  4]  41.00-42.00  sec  46.4 KBytes   380 Kbits/sec  47469  
[  4]  42.00-43.00  sec  46.3 KBytes   380 Kbits/sec  47440  
[  4]  43.00-44.00  sec  46.2 KBytes   379 Kbits/sec  47337  
[  4]  44.00-45.00  sec  46.4 KBytes   380 Kbits/sec  47513  
[  4]  45.00-46.00  sec  46.2 KBytes   378 Kbits/sec  47270  
[  4]  46.00-47.00  sec  46.1 KBytes   378 Kbits/sec  47216  
[  4]  47.00-48.00  sec  46.1 KBytes   378 Kbits/sec  47195  
[  4]  48.00-49.00  sec  46.1 KBytes   378 Kbits/sec  47234  
[  4]  49.00-50.00  sec  46.2 KBytes   379 Kbits/sec  47348  
[  4]  50.00-51.00  sec  46.2 KBytes   378 Kbits/sec  47262  
[  4]  51.00-52.00  sec  46.1 KBytes   377 Kbits/sec  47167  
[  4]  52.00-53.00  sec  46.2 KBytes   378 Kbits/sec  47267  
[  4]  53.00-54.00  sec  46.4 KBytes   380 Kbits/sec  47474  
[  4]  54.00-55.00  sec  46.3 KBytes   379 Kbits/sec  47403  
[  4]  55.00-56.00  sec  46.4 KBytes   380 Kbits/sec  47508  
[  4]  56.00-57.00  sec  46.1 KBytes   378 Kbits/sec  47190  
[  4]  57.00-58.00  sec  46.3 KBytes   380 Kbits/sec  47450  
[  4]  58.00-59.00  sec  46.2 KBytes   378 Kbits/sec  47258  
[  4]  59.00-60.00  sec  45.9 KBytes   376 Kbits/sec  46985  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.70 MBytes   378 Kbits/sec  0.104 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
