Connecting to host 172.31.33.192, port 5000
[  4] local 172.31.40.156 port 37441 connected to 172.31.33.192 port 5000
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  69.6 KBytes   570 Kbits/sec  71272  
[  4]   1.00-2.00   sec  69.1 KBytes   566 Kbits/sec  70808  
[  4]   2.00-3.00   sec  69.0 KBytes   565 Kbits/sec  70635  
[  4]   3.00-4.00   sec  68.9 KBytes   565 Kbits/sec  70573  
[  4]   4.00-5.00   sec  69.0 KBytes   565 Kbits/sec  70607  
[  4]   5.00-6.00   sec  69.5 KBytes   569 Kbits/sec  71167  
[  4]   6.00-7.00   sec  68.9 KBytes   565 Kbits/sec  70584  
[  4]   7.00-8.00   sec  68.5 KBytes   561 Kbits/sec  70126  
[  4]   8.00-9.00   sec  68.5 KBytes   561 Kbits/sec  70169  
[  4]   9.00-10.00  sec  68.6 KBytes   562 Kbits/sec  70263  
[  4]  10.00-11.00  sec  68.5 KBytes   561 Kbits/sec  70163  
[  4]  11.00-12.00  sec  68.6 KBytes   562 Kbits/sec  70293  
[  4]  12.00-13.00  sec  68.4 KBytes   560 Kbits/sec  69998  
[  4]  13.00-14.00  sec  68.5 KBytes   561 Kbits/sec  70107  
[  4]  14.00-15.00  sec  68.6 KBytes   562 Kbits/sec  70248  
[  4]  15.00-16.00  sec  68.6 KBytes   562 Kbits/sec  70213  
[  4]  16.00-17.00  sec  68.5 KBytes   561 Kbits/sec  70118  
[  4]  17.00-18.00  sec  68.5 KBytes   561 Kbits/sec  70130  
[  4]  18.00-19.00  sec  68.5 KBytes   561 Kbits/sec  70164  
[  4]  19.00-20.00  sec  68.5 KBytes   561 Kbits/sec  70152  
[  4]  20.00-21.00  sec  68.4 KBytes   560 Kbits/sec  70015  
[  4]  21.00-22.00  sec  68.5 KBytes   561 Kbits/sec  70111  
[  4]  22.00-23.00  sec  68.3 KBytes   560 Kbits/sec  69956  
[  4]  23.00-24.00  sec  68.5 KBytes   562 Kbits/sec  70191  
[  4]  24.00-25.00  sec  68.3 KBytes   560 Kbits/sec  69990  
[  4]  25.00-26.00  sec  68.6 KBytes   562 Kbits/sec  70277  
[  4]  26.00-27.00  sec  68.5 KBytes   561 Kbits/sec  70155  
[  4]  27.00-28.00  sec  68.5 KBytes   561 Kbits/sec  70168  
[  4]  28.00-29.00  sec  68.6 KBytes   562 Kbits/sec  70220  
[  4]  29.00-30.00  sec  68.5 KBytes   561 Kbits/sec  70181  
[  4]  30.00-31.00  sec  68.3 KBytes   559 Kbits/sec  69891  
[  4]  31.00-32.00  sec  67.8 KBytes   555 Kbits/sec  69414  
[  4]  32.00-33.00  sec  67.6 KBytes   554 Kbits/sec  69246  
[  4]  33.00-34.00  sec  67.8 KBytes   556 Kbits/sec  69439  
[  4]  34.00-35.00  sec  67.9 KBytes   556 Kbits/sec  69526  
[  4]  35.00-36.00  sec  68.0 KBytes   557 Kbits/sec  69626  
[  4]  36.00-37.00  sec  68.5 KBytes   561 Kbits/sec  70099  
[  4]  37.00-38.00  sec  68.3 KBytes   560 Kbits/sec  69959  
[  4]  38.00-39.00  sec  68.5 KBytes   561 Kbits/sec  70109  
[  4]  39.00-40.00  sec  68.6 KBytes   562 Kbits/sec  70196  
[  4]  40.00-41.00  sec  68.4 KBytes   560 Kbits/sec  70013  
[  4]  41.00-42.00  sec  68.4 KBytes   561 Kbits/sec  70063  
[  4]  42.00-43.00  sec  68.4 KBytes   560 Kbits/sec  70018  
[  4]  43.00-44.00  sec  68.4 KBytes   561 Kbits/sec  70066  
[  4]  44.00-45.00  sec  68.4 KBytes   560 Kbits/sec  70026  
[  4]  45.00-46.00  sec  68.2 KBytes   559 Kbits/sec  69879  
[  4]  46.00-47.00  sec  68.4 KBytes   560 Kbits/sec  70028  
[  4]  47.00-48.00  sec  68.5 KBytes   561 Kbits/sec  70098  
[  4]  48.00-49.00  sec  68.3 KBytes   560 Kbits/sec  69977  
[  4]  49.00-50.00  sec  68.4 KBytes   560 Kbits/sec  70046  
[  4]  50.00-51.00  sec  68.5 KBytes   561 Kbits/sec  70102  
[  4]  51.00-52.00  sec  68.3 KBytes   559 Kbits/sec  69937  
[  4]  52.00-53.00  sec  68.3 KBytes   560 Kbits/sec  69968  
[  4]  53.00-54.00  sec  68.4 KBytes   560 Kbits/sec  70042  
[  4]  54.00-55.00  sec  68.4 KBytes   560 Kbits/sec  70050  
[  4]  55.00-56.00  sec  68.4 KBytes   561 Kbits/sec  70081  
[  4]  56.00-57.00  sec  68.6 KBytes   562 Kbits/sec  70244  
[  4]  57.00-58.00  sec  68.6 KBytes   562 Kbits/sec  70252  
[  4]  58.00-59.00  sec  68.4 KBytes   561 Kbits/sec  70085  
[  4]  59.00-60.00  sec  68.5 KBytes   561 Kbits/sec  70101  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  4.01 MBytes   561 Kbits/sec  0.033 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
