Connecting to host 172.31.33.192, port 5003
[  4] local 172.31.34.144 port 35285 connected to 172.31.33.192 port 5003
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  75.0 KBytes   614 Kbits/sec  76771  
[  4]   1.00-2.00   sec  73.0 KBytes   598 Kbits/sec  74717  
[  4]   2.00-3.00   sec  72.7 KBytes   595 Kbits/sec  74406  
[  4]   3.00-4.00   sec  72.2 KBytes   591 Kbits/sec  73922  
[  4]   4.00-5.00   sec  71.1 KBytes   582 Kbits/sec  72806  
[  4]   5.00-6.00   sec  69.7 KBytes   571 Kbits/sec  71384  
[  4]   6.00-7.00   sec  68.3 KBytes   559 Kbits/sec  69925  
[  4]   7.00-8.00   sec  67.6 KBytes   554 Kbits/sec  69209  
[  4]   8.00-9.00   sec  68.2 KBytes   559 Kbits/sec  69883  
[  4]   9.00-10.00  sec  69.3 KBytes   567 Kbits/sec  70937  
[  4]  10.00-11.00  sec  67.0 KBytes   549 Kbits/sec  68636  
[  4]  11.00-12.00  sec  66.8 KBytes   547 Kbits/sec  68352  
[  4]  12.00-13.00  sec  68.7 KBytes   563 Kbits/sec  70367  
[  4]  13.00-14.00  sec  68.6 KBytes   562 Kbits/sec  70276  
[  4]  14.00-15.00  sec  68.0 KBytes   557 Kbits/sec  69680  
[  4]  15.00-16.00  sec  68.2 KBytes   558 Kbits/sec  69803  
[  4]  16.00-17.00  sec  68.2 KBytes   559 Kbits/sec  69841  
[  4]  17.00-18.00  sec  68.0 KBytes   557 Kbits/sec  69616  
[  4]  18.00-19.00  sec  68.8 KBytes   564 Kbits/sec  70478  
[  4]  19.00-20.00  sec  69.0 KBytes   565 Kbits/sec  70606  
[  4]  20.00-21.00  sec  68.2 KBytes   559 Kbits/sec  69846  
[  4]  21.00-22.00  sec  67.9 KBytes   556 Kbits/sec  69528  
[  4]  22.00-23.00  sec  67.8 KBytes   555 Kbits/sec  69376  
[  4]  23.00-24.00  sec  68.5 KBytes   561 Kbits/sec  70100  
[  4]  24.00-25.00  sec  68.2 KBytes   559 Kbits/sec  69880  
[  4]  25.00-26.00  sec  67.8 KBytes   556 Kbits/sec  69460  
[  4]  26.00-27.00  sec  67.8 KBytes   555 Kbits/sec  69402  
[  4]  27.00-28.00  sec  67.8 KBytes   555 Kbits/sec  69393  
[  4]  28.00-29.00  sec  67.3 KBytes   552 Kbits/sec  68963  
[  4]  29.00-30.00  sec  67.6 KBytes   554 Kbits/sec  69208  
[  4]  30.00-31.00  sec  67.9 KBytes   556 Kbits/sec  69483  
[  4]  31.00-32.00  sec  68.5 KBytes   561 Kbits/sec  70123  
[  4]  32.00-33.00  sec  68.2 KBytes   559 Kbits/sec  69843  
[  4]  33.00-34.00  sec  68.2 KBytes   559 Kbits/sec  69813  
[  4]  34.00-35.00  sec  68.7 KBytes   563 Kbits/sec  70373  
[  4]  35.00-36.00  sec  68.3 KBytes   559 Kbits/sec  69929  
[  4]  36.00-37.00  sec  68.0 KBytes   557 Kbits/sec  69618  
[  4]  37.00-38.00  sec  68.4 KBytes   560 Kbits/sec  70015  
[  4]  38.00-39.00  sec  68.6 KBytes   562 Kbits/sec  70286  
[  4]  39.00-40.00  sec  68.1 KBytes   558 Kbits/sec  69762  
[  4]  40.00-41.00  sec  69.0 KBytes   566 Kbits/sec  70704  
[  4]  41.00-42.00  sec  68.6 KBytes   562 Kbits/sec  70218  
[  4]  42.00-43.00  sec  68.3 KBytes   560 Kbits/sec  69972  
[  4]  43.00-44.00  sec  67.3 KBytes   551 Kbits/sec  68922  
[  4]  44.00-45.00  sec  68.4 KBytes   560 Kbits/sec  70026  
[  4]  45.00-46.00  sec  67.7 KBytes   555 Kbits/sec  69318  
[  4]  46.00-47.00  sec  68.0 KBytes   557 Kbits/sec  69671  
[  4]  47.00-48.00  sec  68.6 KBytes   562 Kbits/sec  70209  
[  4]  48.00-49.00  sec  68.3 KBytes   559 Kbits/sec  69921  
[  4]  49.00-50.00  sec  68.2 KBytes   558 Kbits/sec  69803  
[  4]  50.00-51.00  sec  68.1 KBytes   558 Kbits/sec  69768  
[  4]  51.00-52.00  sec  69.5 KBytes   569 Kbits/sec  71131  
[  4]  52.00-53.00  sec  68.2 KBytes   558 Kbits/sec  69795  
[  4]  53.00-54.00  sec  68.3 KBytes   560 Kbits/sec  69979  
[  4]  54.00-55.00  sec  68.1 KBytes   558 Kbits/sec  69738  
[  4]  55.00-56.00  sec  69.0 KBytes   565 Kbits/sec  70655  
[  4]  56.00-57.00  sec  69.3 KBytes   568 Kbits/sec  70963  
[  4]  57.00-58.00  sec  69.2 KBytes   567 Kbits/sec  70845  
[  4]  58.00-59.00  sec  67.6 KBytes   554 Kbits/sec  69229  
[  4]  59.00-60.00  sec  68.6 KBytes   562 Kbits/sec  70267  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  4.02 MBytes   562 Kbits/sec  0.015 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
