Connecting to host 172.31.33.192, port 5002
[  4] local 172.31.34.144 port 48303 connected to 172.31.33.192 port 5002
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  65.4 KBytes   536 Kbits/sec  66939  
[  4]   1.00-2.00   sec  67.4 KBytes   552 Kbits/sec  69007  
[  4]   2.00-3.00   sec  67.7 KBytes   554 Kbits/sec  69306  
[  4]   3.00-4.00   sec  67.9 KBytes   556 Kbits/sec  69549  
[  4]   4.00-5.00   sec  68.4 KBytes   561 Kbits/sec  70077  
[  4]   5.00-6.00   sec  69.9 KBytes   573 Kbits/sec  71602  
[  4]   6.00-7.00   sec  70.2 KBytes   575 Kbits/sec  71865  
[  4]   7.00-8.00   sec  70.1 KBytes   574 Kbits/sec  71791  
[  4]   8.00-9.00   sec  69.4 KBytes   568 Kbits/sec  71024  
[  4]   9.00-10.00  sec  68.5 KBytes   561 Kbits/sec  70130  
[  4]  10.00-11.00  sec  70.8 KBytes   580 Kbits/sec  72506  
[  4]  11.00-12.00  sec  71.3 KBytes   584 Kbits/sec  72988  
[  4]  12.00-13.00  sec  69.2 KBytes   567 Kbits/sec  70844  
[  4]  13.00-14.00  sec  69.3 KBytes   567 Kbits/sec  70924  
[  4]  14.00-15.00  sec  69.8 KBytes   572 Kbits/sec  71509  
[  4]  15.00-16.00  sec  69.7 KBytes   571 Kbits/sec  71395  
[  4]  16.00-17.00  sec  69.6 KBytes   570 Kbits/sec  71258  
[  4]  17.00-18.00  sec  69.9 KBytes   573 Kbits/sec  71570  
[  4]  18.00-19.00  sec  69.1 KBytes   566 Kbits/sec  70727  
[  4]  19.00-20.00  sec  68.9 KBytes   565 Kbits/sec  70597  
[  4]  20.00-21.00  sec  69.7 KBytes   571 Kbits/sec  71343  
[  4]  21.00-22.00  sec  69.7 KBytes   571 Kbits/sec  71401  
[  4]  22.00-23.00  sec  70.0 KBytes   574 Kbits/sec  71716  
[  4]  23.00-24.00  sec  69.3 KBytes   568 Kbits/sec  70994  
[  4]  24.00-25.00  sec  69.4 KBytes   569 Kbits/sec  71093  
[  4]  25.00-26.00  sec  69.2 KBytes   567 Kbits/sec  70870  
[  4]  26.00-27.00  sec  68.7 KBytes   563 Kbits/sec  70396  
[  4]  27.00-28.00  sec  68.7 KBytes   563 Kbits/sec  70342  
[  4]  28.00-29.00  sec  69.1 KBytes   566 Kbits/sec  70741  
[  4]  29.00-30.00  sec  69.0 KBytes   565 Kbits/sec  70607  
[  4]  30.00-31.00  sec  68.6 KBytes   562 Kbits/sec  70250  
[  4]  31.00-32.00  sec  68.2 KBytes   558 Kbits/sec  69794  
[  4]  32.00-33.00  sec  68.5 KBytes   561 Kbits/sec  70135  
[  4]  33.00-34.00  sec  68.9 KBytes   565 Kbits/sec  70571  
[  4]  34.00-35.00  sec  69.0 KBytes   565 Kbits/sec  70620  
[  4]  35.00-36.00  sec  69.6 KBytes   570 Kbits/sec  71227  
[  4]  36.00-37.00  sec  69.8 KBytes   572 Kbits/sec  71478  
[  4]  37.00-38.00  sec  69.3 KBytes   568 Kbits/sec  71011  
[  4]  38.00-39.00  sec  69.1 KBytes   566 Kbits/sec  70798  
[  4]  39.00-40.00  sec  69.8 KBytes   572 Kbits/sec  71474  
[  4]  40.00-41.00  sec  69.9 KBytes   572 Kbits/sec  71554  
[  4]  41.00-42.00  sec  69.1 KBytes   566 Kbits/sec  70802  
[  4]  42.00-43.00  sec  69.4 KBytes   569 Kbits/sec  71088  
[  4]  43.00-44.00  sec  70.5 KBytes   578 Kbits/sec  72192  
[  4]  44.00-45.00  sec  69.3 KBytes   568 Kbits/sec  70968  
[  4]  45.00-46.00  sec  70.0 KBytes   573 Kbits/sec  71651  
[  4]  46.00-47.00  sec  69.7 KBytes   571 Kbits/sec  71363  
[  4]  47.00-48.00  sec  69.2 KBytes   567 Kbits/sec  70888  
[  4]  48.00-49.00  sec  69.5 KBytes   569 Kbits/sec  71117  
[  4]  49.00-50.00  sec  69.6 KBytes   571 Kbits/sec  71320  
[  4]  50.00-51.00  sec  69.7 KBytes   571 Kbits/sec  71349  
[  4]  51.00-52.00  sec  68.3 KBytes   560 Kbits/sec  69985  
[  4]  52.00-53.00  sec  69.7 KBytes   571 Kbits/sec  71394  
[  4]  53.00-54.00  sec  69.4 KBytes   569 Kbits/sec  71096  
[  4]  54.00-55.00  sec  69.6 KBytes   570 Kbits/sec  71262  
[  4]  55.00-56.00  sec  68.8 KBytes   564 Kbits/sec  70473  
[  4]  56.00-57.00  sec  69.1 KBytes   566 Kbits/sec  70758  
[  4]  57.00-58.00  sec  69.4 KBytes   568 Kbits/sec  71049  
[  4]  58.00-59.00  sec  69.2 KBytes   567 Kbits/sec  70835  
[  4]  59.00-60.00  sec  69.6 KBytes   570 Kbits/sec  71220  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  4.06 MBytes   567 Kbits/sec  0.028 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
