Connecting to host 172.31.33.192, port 5003
[  4] local 172.31.34.144 port 39959 connected to 172.31.33.192 port 5003
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  67.7 KBytes   555 Kbits/sec  69329  
[  4]   1.00-2.00   sec  67.9 KBytes   556 Kbits/sec  69552  
[  4]   2.00-3.00   sec  67.9 KBytes   556 Kbits/sec  69501  
[  4]   3.00-4.00   sec  67.9 KBytes   556 Kbits/sec  69543  
[  4]   4.00-5.00   sec  67.6 KBytes   554 Kbits/sec  69261  
[  4]   5.00-6.00   sec  68.1 KBytes   558 Kbits/sec  69760  
[  4]   6.00-7.00   sec  68.1 KBytes   558 Kbits/sec  69726  
[  4]   7.00-8.00   sec  68.0 KBytes   557 Kbits/sec  69674  
[  4]   8.00-9.00   sec  68.1 KBytes   558 Kbits/sec  69706  
[  4]   9.00-10.00  sec  68.1 KBytes   558 Kbits/sec  69723  
[  4]  10.00-11.00  sec  68.1 KBytes   558 Kbits/sec  69733  
[  4]  11.00-12.00  sec  68.1 KBytes   558 Kbits/sec  69693  
[  4]  12.00-13.00  sec  68.0 KBytes   557 Kbits/sec  69627  
[  4]  13.00-14.00  sec  68.0 KBytes   557 Kbits/sec  69666  
[  4]  14.00-15.00  sec  68.1 KBytes   558 Kbits/sec  69707  
[  4]  15.00-16.00  sec  68.0 KBytes   557 Kbits/sec  69672  
[  4]  16.00-17.00  sec  68.1 KBytes   558 Kbits/sec  69741  
[  4]  17.00-18.00  sec  68.1 KBytes   558 Kbits/sec  69703  
[  4]  18.00-19.00  sec  68.1 KBytes   558 Kbits/sec  69718  
[  4]  19.00-20.00  sec  68.0 KBytes   557 Kbits/sec  69653  
[  4]  20.00-21.00  sec  68.1 KBytes   558 Kbits/sec  69698  
[  4]  21.00-22.00  sec  68.0 KBytes   557 Kbits/sec  69675  
[  4]  22.00-23.00  sec  68.0 KBytes   557 Kbits/sec  69682  
[  4]  23.00-24.00  sec  68.0 KBytes   557 Kbits/sec  69649  
[  4]  24.00-25.00  sec  67.6 KBytes   554 Kbits/sec  69261  
[  4]  25.00-26.00  sec  67.5 KBytes   553 Kbits/sec  69142  
[  4]  26.00-27.00  sec  67.6 KBytes   554 Kbits/sec  69215  
[  4]  27.00-28.00  sec  67.6 KBytes   554 Kbits/sec  69197  
[  4]  28.00-29.00  sec  67.5 KBytes   553 Kbits/sec  69151  
[  4]  29.00-30.00  sec  67.9 KBytes   556 Kbits/sec  69531  
[  4]  30.00-31.00  sec  68.0 KBytes   557 Kbits/sec  69656  
[  4]  31.00-32.00  sec  68.1 KBytes   558 Kbits/sec  69725  
[  4]  32.00-33.00  sec  68.1 KBytes   558 Kbits/sec  69774  
[  4]  33.00-34.00  sec  68.1 KBytes   558 Kbits/sec  69750  
[  4]  34.00-35.00  sec  68.0 KBytes   557 Kbits/sec  69650  
[  4]  35.00-36.00  sec  68.1 KBytes   558 Kbits/sec  69694  
[  4]  36.00-37.00  sec  68.1 KBytes   558 Kbits/sec  69692  
[  4]  37.00-38.00  sec  68.0 KBytes   557 Kbits/sec  69656  
[  4]  38.00-39.00  sec  68.1 KBytes   558 Kbits/sec  69691  
[  4]  39.00-40.00  sec  68.1 KBytes   557 Kbits/sec  69687  
[  4]  40.00-41.00  sec  68.1 KBytes   558 Kbits/sec  69742  
[  4]  41.00-42.00  sec  68.1 KBytes   558 Kbits/sec  69698  
[  4]  42.00-43.00  sec  68.1 KBytes   558 Kbits/sec  69711  
[  4]  43.00-44.00  sec  68.1 KBytes   558 Kbits/sec  69703  
[  4]  44.00-45.00  sec  68.1 KBytes   558 Kbits/sec  69722  
[  4]  45.00-46.00  sec  68.1 KBytes   557 Kbits/sec  69685  
[  4]  46.00-47.00  sec  68.0 KBytes   557 Kbits/sec  69669  
[  4]  47.00-48.00  sec  68.0 KBytes   557 Kbits/sec  69640  
[  4]  48.00-49.00  sec  68.0 KBytes   557 Kbits/sec  69665  
[  4]  49.00-50.00  sec  68.1 KBytes   558 Kbits/sec  69713  
[  4]  50.00-51.00  sec  68.1 KBytes   558 Kbits/sec  69695  
[  4]  51.00-52.00  sec  68.0 KBytes   557 Kbits/sec  69659  
[  4]  52.00-53.00  sec  68.0 KBytes   557 Kbits/sec  69635  
[  4]  53.00-54.00  sec  67.5 KBytes   553 Kbits/sec  69171  
[  4]  54.00-55.00  sec  67.5 KBytes   553 Kbits/sec  69099  
[  4]  55.00-56.00  sec  67.5 KBytes   553 Kbits/sec  69132  
[  4]  56.00-57.00  sec  67.5 KBytes   553 Kbits/sec  69132  
[  4]  57.00-58.00  sec  67.5 KBytes   553 Kbits/sec  69165  
[  4]  58.00-59.00  sec  67.6 KBytes   554 Kbits/sec  69196  
[  4]  59.00-60.00  sec  65.8 KBytes   539 Kbits/sec  67399  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  3.98 MBytes   556 Kbits/sec  0.038 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
