Connecting to host 172.31.33.192, port 5002
[  4] local 172.31.34.144 port 38370 connected to 172.31.33.192 port 5002
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  67.6 KBytes   554 Kbits/sec  69226  
[  4]   1.00-2.00   sec  67.8 KBytes   555 Kbits/sec  69429  
[  4]   2.00-3.00   sec  67.8 KBytes   555 Kbits/sec  69377  
[  4]   3.00-4.00   sec  67.8 KBytes   555 Kbits/sec  69396  
[  4]   4.00-5.00   sec  67.5 KBytes   553 Kbits/sec  69084  
[  4]   5.00-6.00   sec  68.0 KBytes   557 Kbits/sec  69603  
[  4]   6.00-7.00   sec  67.9 KBytes   557 Kbits/sec  69576  
[  4]   7.00-8.00   sec  67.9 KBytes   556 Kbits/sec  69505  
[  4]   8.00-9.00   sec  67.9 KBytes   557 Kbits/sec  69564  
[  4]   9.00-10.00  sec  68.0 KBytes   557 Kbits/sec  69610  
[  4]  10.00-11.00  sec  67.9 KBytes   556 Kbits/sec  69536  
[  4]  11.00-12.00  sec  67.9 KBytes   556 Kbits/sec  69547  
[  4]  12.00-13.00  sec  67.9 KBytes   556 Kbits/sec  69487  
[  4]  13.00-14.00  sec  67.9 KBytes   556 Kbits/sec  69528  
[  4]  14.00-15.00  sec  68.0 KBytes   557 Kbits/sec  69609  
[  4]  15.00-16.00  sec  67.9 KBytes   557 Kbits/sec  69568  
[  4]  16.00-17.00  sec  68.0 KBytes   557 Kbits/sec  69600  
[  4]  17.00-18.00  sec  67.9 KBytes   556 Kbits/sec  69548  
[  4]  18.00-19.00  sec  67.9 KBytes   557 Kbits/sec  69570  
[  4]  19.00-20.00  sec  67.8 KBytes   556 Kbits/sec  69454  
[  4]  20.00-21.00  sec  67.9 KBytes   557 Kbits/sec  69575  
[  4]  21.00-22.00  sec  67.9 KBytes   556 Kbits/sec  69535  
[  4]  22.00-23.00  sec  67.9 KBytes   556 Kbits/sec  69502  
[  4]  23.00-24.00  sec  67.9 KBytes   556 Kbits/sec  69520  
[  4]  24.00-25.00  sec  67.5 KBytes   553 Kbits/sec  69122  
[  4]  25.00-26.00  sec  67.4 KBytes   552 Kbits/sec  69050  
[  4]  26.00-27.00  sec  67.4 KBytes   552 Kbits/sec  69044  
[  4]  27.00-28.00  sec  67.4 KBytes   552 Kbits/sec  69044  
[  4]  28.00-29.00  sec  67.4 KBytes   552 Kbits/sec  68979  
[  4]  29.00-30.00  sec  67.8 KBytes   555 Kbits/sec  69405  
[  4]  30.00-31.00  sec  67.9 KBytes   556 Kbits/sec  69513  
[  4]  31.00-32.00  sec  68.0 KBytes   557 Kbits/sec  69601  
[  4]  32.00-33.00  sec  68.0 KBytes   557 Kbits/sec  69651  
[  4]  33.00-34.00  sec  68.0 KBytes   557 Kbits/sec  69608  
[  4]  34.00-35.00  sec  67.9 KBytes   556 Kbits/sec  69503  
[  4]  35.00-36.00  sec  68.0 KBytes   557 Kbits/sec  69590  
[  4]  36.00-37.00  sec  67.9 KBytes   556 Kbits/sec  69541  
[  4]  37.00-38.00  sec  67.9 KBytes   556 Kbits/sec  69547  
[  4]  38.00-39.00  sec  67.9 KBytes   556 Kbits/sec  69561  
[  4]  39.00-40.00  sec  67.9 KBytes   556 Kbits/sec  69551  
[  4]  40.00-41.00  sec  68.0 KBytes   557 Kbits/sec  69581  
[  4]  41.00-42.00  sec  67.9 KBytes   556 Kbits/sec  69528  
[  4]  42.00-43.00  sec  68.0 KBytes   557 Kbits/sec  69597  
[  4]  43.00-44.00  sec  68.0 KBytes   557 Kbits/sec  69588  
[  4]  44.00-45.00  sec  68.0 KBytes   557 Kbits/sec  69581  
[  4]  45.00-46.00  sec  67.9 KBytes   556 Kbits/sec  69552  
[  4]  46.00-47.00  sec  67.9 KBytes   556 Kbits/sec  69549  
[  4]  47.00-48.00  sec  67.9 KBytes   556 Kbits/sec  69504  
[  4]  48.00-49.00  sec  67.9 KBytes   556 Kbits/sec  69534  
[  4]  49.00-50.00  sec  67.9 KBytes   557 Kbits/sec  69571  
[  4]  50.00-51.00  sec  68.0 KBytes   557 Kbits/sec  69582  
[  4]  51.00-52.00  sec  67.9 KBytes   557 Kbits/sec  69563  
[  4]  52.00-53.00  sec  67.9 KBytes   556 Kbits/sec  69490  
[  4]  53.00-54.00  sec  67.4 KBytes   552 Kbits/sec  69027  
[  4]  54.00-55.00  sec  67.3 KBytes   552 Kbits/sec  68954  
[  4]  55.00-56.00  sec  67.4 KBytes   552 Kbits/sec  69038  
[  4]  56.00-57.00  sec  67.4 KBytes   552 Kbits/sec  69001  
[  4]  57.00-58.00  sec  67.4 KBytes   552 Kbits/sec  69015  
[  4]  58.00-59.00  sec  67.4 KBytes   552 Kbits/sec  69038  
[  4]  59.00-60.00  sec  65.9 KBytes   540 Kbits/sec  67472  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  3.97 MBytes   555 Kbits/sec  0.027 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
