Connecting to host 172.31.33.192, port 5011
[  4] local 172.31.47.229 port 34063 connected to 172.31.33.192 port 5011
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  66.5 KBytes   545 Kbits/sec  68090  
[  4]   1.00-2.00   sec  65.8 KBytes   539 Kbits/sec  67411  
[  4]   2.00-3.00   sec  65.4 KBytes   536 Kbits/sec  66975  
[  4]   3.00-4.00   sec  65.1 KBytes   533 Kbits/sec  66622  
[  4]   4.00-5.00   sec  64.8 KBytes   530 Kbits/sec  66304  
[  4]   5.00-6.00   sec  64.9 KBytes   531 Kbits/sec  66413  
[  4]   6.00-7.00   sec  64.8 KBytes   531 Kbits/sec  66337  
[  4]   7.00-8.00   sec  65.0 KBytes   532 Kbits/sec  66529  
[  4]   8.00-9.00   sec  65.0 KBytes   532 Kbits/sec  66529  
[  4]   9.00-10.00  sec  64.8 KBytes   531 Kbits/sec  66372  
[  4]  10.00-11.00  sec  64.9 KBytes   531 Kbits/sec  66429  
[  4]  11.00-12.00  sec  64.8 KBytes   531 Kbits/sec  66347  
[  4]  12.00-13.00  sec  64.8 KBytes   531 Kbits/sec  66329  
[  4]  13.00-14.00  sec  64.8 KBytes   531 Kbits/sec  66360  
[  4]  14.00-15.00  sec  64.9 KBytes   532 Kbits/sec  66459  
[  4]  15.00-16.00  sec  64.8 KBytes   531 Kbits/sec  66377  
[  4]  16.00-17.00  sec  64.9 KBytes   531 Kbits/sec  66414  
[  4]  17.00-18.00  sec  64.8 KBytes   531 Kbits/sec  66394  
[  4]  18.00-19.00  sec  64.9 KBytes   531 Kbits/sec  66429  
[  4]  19.00-20.00  sec  64.9 KBytes   532 Kbits/sec  66470  
[  4]  20.00-21.00  sec  65.0 KBytes   532 Kbits/sec  66521  
[  4]  21.00-22.00  sec  65.0 KBytes   532 Kbits/sec  66550  
[  4]  22.00-23.00  sec  65.0 KBytes   532 Kbits/sec  66554  
[  4]  23.00-24.00  sec  64.4 KBytes   528 Kbits/sec  65972  
[  4]  24.00-25.00  sec  64.4 KBytes   528 Kbits/sec  65964  
[  4]  25.00-26.00  sec  64.5 KBytes   528 Kbits/sec  66054  
[  4]  26.00-27.00  sec  64.6 KBytes   529 Kbits/sec  66117  
[  4]  27.00-28.00  sec  64.5 KBytes   529 Kbits/sec  66089  
[  4]  28.00-29.00  sec  64.5 KBytes   528 Kbits/sec  66008  
[  4]  29.00-30.00  sec  64.4 KBytes   528 Kbits/sec  65957  
[  4]  30.00-31.00  sec  65.4 KBytes   536 Kbits/sec  66986  
[  4]  31.00-32.00  sec  65.4 KBytes   536 Kbits/sec  67001  
[  4]  32.00-33.00  sec  65.0 KBytes   532 Kbits/sec  66519  
[  4]  33.00-34.00  sec  65.0 KBytes   532 Kbits/sec  66547  
[  4]  34.00-35.00  sec  65.2 KBytes   534 Kbits/sec  66734  
[  4]  35.00-36.00  sec  64.9 KBytes   532 Kbits/sec  66499  
[  4]  36.00-37.00  sec  64.9 KBytes   532 Kbits/sec  66499  
[  4]  37.00-38.00  sec  64.9 KBytes   532 Kbits/sec  66459  
[  4]  38.00-39.00  sec  64.9 KBytes   532 Kbits/sec  66469  
[  4]  39.00-40.00  sec  64.9 KBytes   531 Kbits/sec  66408  
[  4]  40.00-41.00  sec  64.9 KBytes   531 Kbits/sec  66420  
[  4]  41.00-42.00  sec  64.8 KBytes   531 Kbits/sec  66322  
[  4]  42.00-43.00  sec  64.8 KBytes   531 Kbits/sec  66343  
[  4]  43.00-44.00  sec  64.8 KBytes   531 Kbits/sec  66379  
[  4]  44.00-45.00  sec  64.8 KBytes   531 Kbits/sec  66319  
[  4]  45.00-46.00  sec  64.9 KBytes   532 Kbits/sec  66466  
[  4]  46.00-47.00  sec  64.9 KBytes   532 Kbits/sec  66482  
[  4]  47.00-48.00  sec  64.5 KBytes   529 Kbits/sec  66092  
[  4]  48.00-49.00  sec  64.1 KBytes   525 Kbits/sec  65682  
[  4]  49.00-50.00  sec  64.2 KBytes   526 Kbits/sec  65696  
[  4]  50.00-51.00  sec  64.3 KBytes   527 Kbits/sec  65839  
[  4]  51.00-52.00  sec  64.1 KBytes   525 Kbits/sec  65680  
[  4]  52.00-53.00  sec  64.1 KBytes   525 Kbits/sec  65678  
[  4]  53.00-54.00  sec  64.1 KBytes   525 Kbits/sec  65606  
[  4]  54.00-55.00  sec  64.6 KBytes   529 Kbits/sec  66153  
[  4]  55.00-56.00  sec  65.5 KBytes   536 Kbits/sec  67057  
[  4]  56.00-57.00  sec  65.9 KBytes   540 Kbits/sec  67459  
[  4]  57.00-58.00  sec  66.6 KBytes   546 Kbits/sec  68214  
[  4]  58.00-59.00  sec  67.3 KBytes   551 Kbits/sec  68908  
[  4]  59.00-60.00  sec  67.3 KBytes   551 Kbits/sec  68928  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  3.81 MBytes   532 Kbits/sec  0.015 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
