Connecting to host 172.31.33.192, port 5010
[  4] local 172.31.47.229 port 53261 connected to 172.31.33.192 port 5010
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  41.7 KBytes   341 Kbits/sec  42671  
[  4]   1.00-2.00   sec  41.2 KBytes   338 Kbits/sec  42223  
[  4]   2.00-3.00   sec  41.0 KBytes   336 Kbits/sec  42003  
[  4]   3.00-4.00   sec  41.2 KBytes   337 Kbits/sec  42167  
[  4]   4.00-5.00   sec  41.1 KBytes   337 Kbits/sec  42073  
[  4]   5.00-6.00   sec  41.4 KBytes   339 Kbits/sec  42375  
[  4]   6.00-7.00   sec  41.3 KBytes   338 Kbits/sec  42274  
[  4]   7.00-8.00   sec  41.2 KBytes   338 Kbits/sec  42205  
[  4]   8.00-9.00   sec  41.1 KBytes   337 Kbits/sec  42105  
[  4]   9.00-10.00  sec  41.2 KBytes   337 Kbits/sec  42139  
[  4]  10.00-11.00  sec  41.2 KBytes   338 Kbits/sec  42228  
[  4]  11.00-12.00  sec  41.2 KBytes   338 Kbits/sec  42201  
[  4]  12.00-13.00  sec  41.1 KBytes   337 Kbits/sec  42119  
[  4]  13.00-14.00  sec  41.4 KBytes   339 Kbits/sec  42434  
[  4]  14.00-15.00  sec  41.4 KBytes   339 Kbits/sec  42402  
[  4]  15.00-16.00  sec  41.3 KBytes   338 Kbits/sec  42309  
[  4]  16.00-17.00  sec  41.3 KBytes   339 Kbits/sec  42328  
[  4]  17.00-18.00  sec  41.2 KBytes   338 Kbits/sec  42226  
[  4]  18.00-19.00  sec  41.3 KBytes   338 Kbits/sec  42268  
[  4]  19.00-20.00  sec  41.2 KBytes   337 Kbits/sec  42150  
[  4]  20.00-21.00  sec  41.3 KBytes   338 Kbits/sec  42259  
[  4]  21.00-22.00  sec  41.2 KBytes   337 Kbits/sec  42152  
[  4]  22.00-23.00  sec  41.3 KBytes   339 Kbits/sec  42321  
[  4]  23.00-24.00  sec  41.2 KBytes   338 Kbits/sec  42238  
[  4]  24.00-25.00  sec  41.3 KBytes   338 Kbits/sec  42267  
[  4]  25.00-26.00  sec  41.2 KBytes   338 Kbits/sec  42197  
[  4]  26.00-27.00  sec  41.3 KBytes   338 Kbits/sec  42264  
[  4]  27.00-28.00  sec  41.2 KBytes   337 Kbits/sec  42180  
[  4]  28.00-29.00  sec  41.3 KBytes   338 Kbits/sec  42268  
[  4]  29.00-30.00  sec  41.3 KBytes   338 Kbits/sec  42281  
[  4]  30.00-31.00  sec  41.3 KBytes   338 Kbits/sec  42303  
[  4]  31.00-32.00  sec  41.3 KBytes   339 Kbits/sec  42316  
[  4]  32.00-33.00  sec  40.8 KBytes   334 Kbits/sec  41742  
[  4]  33.00-34.00  sec  40.7 KBytes   334 Kbits/sec  41706  
[  4]  34.00-35.00  sec  40.8 KBytes   334 Kbits/sec  41774  
[  4]  35.00-36.00  sec  40.8 KBytes   334 Kbits/sec  41731  
[  4]  36.00-37.00  sec  40.8 KBytes   334 Kbits/sec  41804  
[  4]  37.00-38.00  sec  40.8 KBytes   334 Kbits/sec  41738  
[  4]  38.00-39.00  sec  40.7 KBytes   334 Kbits/sec  41712  
[  4]  39.00-40.00  sec  40.7 KBytes   333 Kbits/sec  41655  
[  4]  40.00-41.00  sec  41.1 KBytes   336 Kbits/sec  42052  
[  4]  41.00-42.00  sec  41.1 KBytes   336 Kbits/sec  42046  
[  4]  42.00-43.00  sec  41.2 KBytes   338 Kbits/sec  42230  
[  4]  43.00-44.00  sec  41.1 KBytes   337 Kbits/sec  42094  
[  4]  44.00-45.00  sec  41.1 KBytes   337 Kbits/sec  42103  
[  4]  45.00-46.00  sec  41.2 KBytes   337 Kbits/sec  42173  
[  4]  46.00-47.00  sec  41.2 KBytes   337 Kbits/sec  42147  
[  4]  47.00-48.00  sec  41.1 KBytes   336 Kbits/sec  42061  
[  4]  48.00-49.00  sec  41.2 KBytes   337 Kbits/sec  42181  
[  4]  49.00-50.00  sec  41.2 KBytes   337 Kbits/sec  42153  
[  4]  50.00-51.00  sec  41.3 KBytes   338 Kbits/sec  42300  
[  4]  51.00-52.00  sec  41.3 KBytes   339 Kbits/sec  42325  
[  4]  52.00-53.00  sec  41.3 KBytes   338 Kbits/sec  42282  
[  4]  53.00-54.00  sec  41.4 KBytes   339 Kbits/sec  42426  
[  4]  54.00-55.00  sec  41.9 KBytes   343 Kbits/sec  42909  
[  4]  55.00-56.00  sec  42.2 KBytes   346 Kbits/sec  43232  
[  4]  56.00-57.00  sec  42.6 KBytes   349 Kbits/sec  43601  
[  4]  57.00-58.00  sec  42.8 KBytes   351 Kbits/sec  43862  
[  4]  58.00-59.00  sec  43.3 KBytes   354 Kbits/sec  44311  
[  4]  59.00-60.00  sec  43.2 KBytes   354 Kbits/sec  44284  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.42 MBytes   338 Kbits/sec  0.096 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
