Connecting to host 172.31.33.192, port 5010
[  4] local 172.31.47.229 port 48586 connected to 172.31.33.192 port 5010
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  66.3 KBytes   543 Kbits/sec  67932  
[  4]   1.00-2.00   sec  65.7 KBytes   538 Kbits/sec  67288  
[  4]   2.00-3.00   sec  65.3 KBytes   535 Kbits/sec  66821  
[  4]   3.00-4.00   sec  64.9 KBytes   532 Kbits/sec  66493  
[  4]   4.00-5.00   sec  64.5 KBytes   528 Kbits/sec  66051  
[  4]   5.00-6.00   sec  64.7 KBytes   530 Kbits/sec  66220  
[  4]   6.00-7.00   sec  64.6 KBytes   529 Kbits/sec  66110  
[  4]   7.00-8.00   sec  64.8 KBytes   530 Kbits/sec  66312  
[  4]   8.00-9.00   sec  64.8 KBytes   531 Kbits/sec  66353  
[  4]   9.00-10.00  sec  64.7 KBytes   530 Kbits/sec  66203  
[  4]  10.00-11.00  sec  64.7 KBytes   530 Kbits/sec  66236  
[  4]  11.00-12.00  sec  64.6 KBytes   529 Kbits/sec  66184  
[  4]  12.00-13.00  sec  64.6 KBytes   529 Kbits/sec  66149  
[  4]  13.00-14.00  sec  64.7 KBytes   530 Kbits/sec  66226  
[  4]  14.00-15.00  sec  64.7 KBytes   530 Kbits/sec  66267  
[  4]  15.00-16.00  sec  64.7 KBytes   530 Kbits/sec  66227  
[  4]  16.00-17.00  sec  64.7 KBytes   530 Kbits/sec  66218  
[  4]  17.00-18.00  sec  64.6 KBytes   529 Kbits/sec  66157  
[  4]  18.00-19.00  sec  64.7 KBytes   530 Kbits/sec  66253  
[  4]  19.00-20.00  sec  64.8 KBytes   531 Kbits/sec  66354  
[  4]  20.00-21.00  sec  64.9 KBytes   531 Kbits/sec  66432  
[  4]  21.00-22.00  sec  64.9 KBytes   531 Kbits/sec  66432  
[  4]  22.00-23.00  sec  64.7 KBytes   530 Kbits/sec  66276  
[  4]  23.00-24.00  sec  64.2 KBytes   526 Kbits/sec  65692  
[  4]  24.00-25.00  sec  64.2 KBytes   526 Kbits/sec  65775  
[  4]  25.00-26.00  sec  64.3 KBytes   527 Kbits/sec  65836  
[  4]  26.00-27.00  sec  64.3 KBytes   527 Kbits/sec  65834  
[  4]  27.00-28.00  sec  64.3 KBytes   526 Kbits/sec  65809  
[  4]  28.00-29.00  sec  64.1 KBytes   525 Kbits/sec  65656  
[  4]  29.00-30.00  sec  64.2 KBytes   526 Kbits/sec  65692  
[  4]  30.00-31.00  sec  65.1 KBytes   534 Kbits/sec  66710  
[  4]  31.00-32.00  sec  65.2 KBytes   534 Kbits/sec  66761  
[  4]  32.00-33.00  sec  64.6 KBytes   529 Kbits/sec  66180  
[  4]  33.00-34.00  sec  64.7 KBytes   530 Kbits/sec  66237  
[  4]  34.00-35.00  sec  64.8 KBytes   531 Kbits/sec  66352  
[  4]  35.00-36.00  sec  64.7 KBytes   530 Kbits/sec  66263  
[  4]  36.00-37.00  sec  64.7 KBytes   530 Kbits/sec  66232  
[  4]  37.00-38.00  sec  64.4 KBytes   527 Kbits/sec  65916  
[  4]  38.00-39.00  sec  64.7 KBytes   530 Kbits/sec  66212  
[  4]  39.00-40.00  sec  64.6 KBytes   529 Kbits/sec  66142  
[  4]  40.00-41.00  sec  64.6 KBytes   530 Kbits/sec  66195  
[  4]  41.00-42.00  sec  64.5 KBytes   529 Kbits/sec  66097  
[  4]  42.00-43.00  sec  64.6 KBytes   529 Kbits/sec  66118  
[  4]  43.00-44.00  sec  64.5 KBytes   529 Kbits/sec  66090  
[  4]  44.00-45.00  sec  64.5 KBytes   528 Kbits/sec  66054  
[  4]  45.00-46.00  sec  64.6 KBytes   530 Kbits/sec  66199  
[  4]  46.00-47.00  sec  64.7 KBytes   530 Kbits/sec  66261  
[  4]  47.00-48.00  sec  64.3 KBytes   527 Kbits/sec  65852  
[  4]  48.00-49.00  sec  63.9 KBytes   524 Kbits/sec  65445  
[  4]  49.00-50.00  sec  63.9 KBytes   524 Kbits/sec  65455  
[  4]  50.00-51.00  sec  64.0 KBytes   524 Kbits/sec  65549  
[  4]  51.00-52.00  sec  63.9 KBytes   523 Kbits/sec  65407  
[  4]  52.00-53.00  sec  63.9 KBytes   523 Kbits/sec  65409  
[  4]  53.00-54.00  sec  63.8 KBytes   523 Kbits/sec  65355  
[  4]  54.00-55.00  sec  64.3 KBytes   527 Kbits/sec  65862  
[  4]  55.00-56.00  sec  65.4 KBytes   536 Kbits/sec  66949  
[  4]  56.00-57.00  sec  65.8 KBytes   539 Kbits/sec  67360  
[  4]  57.00-58.00  sec  66.4 KBytes   544 Kbits/sec  68042  
[  4]  58.00-59.00  sec  67.0 KBytes   549 Kbits/sec  68619  
[  4]  59.00-60.00  sec  67.0 KBytes   549 Kbits/sec  68647  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  3.79 MBytes   530 Kbits/sec  0.033 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
