Connecting to host 172.31.33.192, port 5007
[  4] local 172.31.36.192 port 50201 connected to 172.31.33.192 port 5007
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  45.9 KBytes   376 Kbits/sec  46979  
[  4]   1.00-2.00   sec  45.6 KBytes   373 Kbits/sec  46645  
[  4]   2.00-3.00   sec  44.7 KBytes   366 Kbits/sec  45802  
[  4]   3.00-4.00   sec  44.1 KBytes   361 Kbits/sec  45114  
[  4]   4.00-5.00   sec  43.8 KBytes   359 Kbits/sec  44855  
[  4]   5.00-6.00   sec  44.0 KBytes   361 Kbits/sec  45091  
[  4]   6.00-7.00   sec  44.1 KBytes   361 Kbits/sec  45124  
[  4]   7.00-8.00   sec  44.0 KBytes   360 Kbits/sec  45019  
[  4]   8.00-9.00   sec  43.9 KBytes   360 Kbits/sec  44995  
[  4]   9.00-10.00  sec  43.9 KBytes   360 Kbits/sec  44996  
[  4]  10.00-11.00  sec  43.8 KBytes   359 Kbits/sec  44901  
[  4]  11.00-12.00  sec  43.9 KBytes   359 Kbits/sec  44915  
[  4]  12.00-13.00  sec  43.9 KBytes   359 Kbits/sec  44935  
[  4]  13.00-14.00  sec  44.0 KBytes   360 Kbits/sec  45060  
[  4]  14.00-15.00  sec  44.0 KBytes   361 Kbits/sec  45066  
[  4]  15.00-16.00  sec  44.1 KBytes   361 Kbits/sec  45119  
[  4]  16.00-17.00  sec  44.1 KBytes   361 Kbits/sec  45184  
[  4]  17.00-18.00  sec  43.7 KBytes   358 Kbits/sec  44698  
[  4]  18.00-19.00  sec  43.4 KBytes   356 Kbits/sec  44483  
[  4]  19.00-20.00  sec  43.3 KBytes   355 Kbits/sec  44357  
[  4]  20.00-21.00  sec  43.3 KBytes   355 Kbits/sec  44313  
[  4]  21.00-22.00  sec  43.3 KBytes   355 Kbits/sec  44370  
[  4]  22.00-23.00  sec  43.6 KBytes   357 Kbits/sec  44671  
[  4]  23.00-24.00  sec  43.8 KBytes   359 Kbits/sec  44833  
[  4]  24.00-25.00  sec  44.1 KBytes   361 Kbits/sec  45150  
[  4]  25.00-26.00  sec  44.0 KBytes   361 Kbits/sec  45097  
[  4]  26.00-27.00  sec  44.1 KBytes   361 Kbits/sec  45156  
[  4]  27.00-28.00  sec  44.1 KBytes   361 Kbits/sec  45140  
[  4]  28.00-29.00  sec  44.2 KBytes   362 Kbits/sec  45244  
[  4]  29.00-30.00  sec  44.2 KBytes   362 Kbits/sec  45293  
[  4]  30.00-31.00  sec  44.1 KBytes   361 Kbits/sec  45110  
[  4]  31.00-32.00  sec  43.9 KBytes   360 Kbits/sec  44976  
[  4]  32.00-33.00  sec  43.3 KBytes   355 Kbits/sec  44316  
[  4]  33.00-34.00  sec  43.3 KBytes   355 Kbits/sec  44324  
[  4]  34.00-35.00  sec  43.3 KBytes   355 Kbits/sec  44335  
[  4]  35.00-36.00  sec  43.3 KBytes   355 Kbits/sec  44375  
[  4]  36.00-37.00  sec  43.3 KBytes   355 Kbits/sec  44379  
[  4]  37.00-38.00  sec  43.3 KBytes   355 Kbits/sec  44352  
[  4]  38.00-39.00  sec  43.5 KBytes   356 Kbits/sec  44536  
[  4]  39.00-40.00  sec  42.9 KBytes   352 Kbits/sec  43948  
[  4]  40.00-41.00  sec  43.2 KBytes   353 Kbits/sec  44187  
[  4]  41.00-42.00  sec  42.9 KBytes   351 Kbits/sec  43922  
[  4]  42.00-43.00  sec  42.8 KBytes   351 Kbits/sec  43848  
[  4]  43.00-44.00  sec  42.8 KBytes   351 Kbits/sec  43850  
[  4]  44.00-45.00  sec  42.8 KBytes   351 Kbits/sec  43847  
[  4]  45.00-46.00  sec  43.1 KBytes   353 Kbits/sec  44095  
[  4]  46.00-47.00  sec  43.2 KBytes   354 Kbits/sec  44286  
[  4]  47.00-48.00  sec  43.5 KBytes   356 Kbits/sec  44544  
[  4]  48.00-49.00  sec  43.6 KBytes   357 Kbits/sec  44615  
[  4]  49.00-50.00  sec  43.5 KBytes   356 Kbits/sec  44529  
[  4]  50.00-51.00  sec  43.4 KBytes   356 Kbits/sec  44487  
[  4]  51.00-52.00  sec  43.5 KBytes   356 Kbits/sec  44534  
[  4]  52.00-53.00  sec  43.4 KBytes   356 Kbits/sec  44490  
[  4]  53.00-54.00  sec  43.5 KBytes   356 Kbits/sec  44509  
[  4]  54.00-55.00  sec  43.5 KBytes   356 Kbits/sec  44531  
[  4]  55.00-56.00  sec  43.3 KBytes   355 Kbits/sec  44332  
[  4]  56.00-57.00  sec  43.2 KBytes   354 Kbits/sec  44258  
[  4]  57.00-58.00  sec  43.6 KBytes   357 Kbits/sec  44642  
[  4]  58.00-59.00  sec  44.4 KBytes   363 Kbits/sec  45434  
[  4]  59.00-60.00  sec  45.3 KBytes   371 Kbits/sec  46353  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.56 MBytes   358 Kbits/sec  0.074 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
