Connecting to host 172.31.33.192, port 5013
[  4] local 172.31.32.121 port 54130 connected to 172.31.33.192 port 5013
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  42.6 KBytes   349 Kbits/sec  43619  
[  4]   1.00-2.00   sec  41.8 KBytes   342 Kbits/sec  42773  
[  4]   2.00-3.00   sec  41.7 KBytes   342 Kbits/sec  42720  
[  4]   3.00-4.00   sec  41.6 KBytes   341 Kbits/sec  42639  
[  4]   4.00-5.00   sec  41.6 KBytes   341 Kbits/sec  42624  
[  4]   5.00-6.00   sec  42.1 KBytes   345 Kbits/sec  43064  
[  4]   6.00-7.00   sec  42.3 KBytes   346 Kbits/sec  43277  
[  4]   7.00-8.00   sec  42.1 KBytes   345 Kbits/sec  43132  
[  4]   8.00-9.00   sec  42.1 KBytes   345 Kbits/sec  43115  
[  4]   9.00-10.00  sec  42.2 KBytes   346 Kbits/sec  43196  
[  4]  10.00-11.00  sec  42.3 KBytes   347 Kbits/sec  43354  
[  4]  11.00-12.00  sec  42.1 KBytes   345 Kbits/sec  43132  
[  4]  12.00-13.00  sec  42.3 KBytes   347 Kbits/sec  43353  
[  4]  13.00-14.00  sec  42.3 KBytes   347 Kbits/sec  43339  
[  4]  14.00-15.00  sec  42.5 KBytes   348 Kbits/sec  43483  
[  4]  15.00-16.00  sec  42.4 KBytes   347 Kbits/sec  43372  
[  4]  16.00-17.00  sec  42.4 KBytes   347 Kbits/sec  43388  
[  4]  17.00-18.00  sec  42.4 KBytes   348 Kbits/sec  43439  
[  4]  18.00-19.00  sec  42.4 KBytes   347 Kbits/sec  43418  
[  4]  19.00-20.00  sec  42.4 KBytes   348 Kbits/sec  43453  
[  4]  20.00-21.00  sec  42.5 KBytes   348 Kbits/sec  43554  
[  4]  21.00-22.00  sec  42.5 KBytes   348 Kbits/sec  43487  
[  4]  22.00-23.00  sec  42.5 KBytes   348 Kbits/sec  43513  
[  4]  23.00-24.00  sec  42.4 KBytes   348 Kbits/sec  43463  
[  4]  24.00-25.00  sec  42.3 KBytes   347 Kbits/sec  43353  
[  4]  25.00-26.00  sec  42.3 KBytes   347 Kbits/sec  43337  
[  4]  26.00-27.00  sec  42.3 KBytes   347 Kbits/sec  43346  
[  4]  27.00-28.00  sec  42.2 KBytes   346 Kbits/sec  43213  
[  4]  28.00-29.00  sec  42.2 KBytes   346 Kbits/sec  43226  
[  4]  29.00-30.00  sec  42.2 KBytes   346 Kbits/sec  43237  
[  4]  30.00-31.00  sec  42.5 KBytes   348 Kbits/sec  43473  
[  4]  31.00-32.00  sec  42.5 KBytes   348 Kbits/sec  43512  
[  4]  32.00-33.00  sec  41.9 KBytes   343 Kbits/sec  42922  
[  4]  33.00-34.00  sec  42.1 KBytes   345 Kbits/sec  43072  
[  4]  34.00-35.00  sec  42.4 KBytes   347 Kbits/sec  43410  
[  4]  35.00-36.00  sec  42.3 KBytes   347 Kbits/sec  43337  
[  4]  36.00-37.00  sec  41.6 KBytes   341 Kbits/sec  42620  
[  4]  37.00-38.00  sec  41.6 KBytes   341 Kbits/sec  42596  
[  4]  38.00-39.00  sec  41.5 KBytes   340 Kbits/sec  42539  
[  4]  39.00-40.00  sec  41.5 KBytes   340 Kbits/sec  42478  
[  4]  40.00-41.00  sec  41.5 KBytes   340 Kbits/sec  42542  
[  4]  41.00-42.00  sec  41.8 KBytes   343 Kbits/sec  42816  
[  4]  42.00-43.00  sec  41.9 KBytes   343 Kbits/sec  42909  
[  4]  43.00-44.00  sec  42.1 KBytes   345 Kbits/sec  43072  
[  4]  44.00-45.00  sec  42.1 KBytes   345 Kbits/sec  43119  
[  4]  45.00-46.00  sec  41.9 KBytes   344 Kbits/sec  42945  
[  4]  46.00-47.00  sec  42.0 KBytes   344 Kbits/sec  42996  
[  4]  47.00-48.00  sec  42.0 KBytes   344 Kbits/sec  43047  
[  4]  48.00-49.00  sec  42.0 KBytes   344 Kbits/sec  42965  
[  4]  49.00-50.00  sec  42.0 KBytes   344 Kbits/sec  42964  
[  4]  50.00-51.00  sec  41.9 KBytes   344 Kbits/sec  42951  
[  4]  51.00-52.00  sec  42.7 KBytes   350 Kbits/sec  43727  
[  4]  52.00-53.00  sec  42.1 KBytes   345 Kbits/sec  43113  
[  4]  53.00-54.00  sec  42.4 KBytes   347 Kbits/sec  43369  
[  4]  54.00-55.00  sec  43.1 KBytes   353 Kbits/sec  44122  
[  4]  55.00-56.00  sec  43.8 KBytes   359 Kbits/sec  44878  
[  4]  56.00-57.00  sec  44.7 KBytes   366 Kbits/sec  45751  
[  4]  57.00-58.00  sec  44.9 KBytes   368 Kbits/sec  46024  
[  4]  58.00-59.00  sec  45.0 KBytes   369 Kbits/sec  46062  
[  4]  59.00-60.00  sec  44.8 KBytes   367 Kbits/sec  45878  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.48 MBytes   347 Kbits/sec  0.118 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
